Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
Mia_1	5917126	4947779	6844	99047	0	0	0	0	9617	0	0	0	0	639050	179282	35507	83.61794222397833	5917126.0	5818079.0	98.33	99047.0	1.67	Mia_1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5917126.0	0.0	20-76	37.0	21.228005291938228	74.49451574970686	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	5919454	1923686	5919454	446579873	434712	443606071	0.6659059621345721	0.078	0.245	0.677		
Mia_2	8179117	6807821	26654	127928	0	0	0	0	97191	0	0	0	0	400594	387667	331262	83.23418041336247	8179117.0	8051189.0	98.44	127928.0	1.56	Mia_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8179117.0	0.0	20-40	34.0	18.453014689075165	39.36278891718996	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	8201533	2707755	8201533	328061320	387768	324413626	1.1118939593366266	0.0993	0.325	0.5757		
Mia_3	8445702	6965026	140752	156746	0	0	0	0	87216	0	0	0	0	427025	356045	312892	82.46828978810761	8445702.0	8288956.0	98.14	156746.0	1.86	Mia_3_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8445702.0	0.0	20-40	34.0	18.754856672628637	39.35793614314121	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	8470422	2799917	8470422	338816880	403736	335034931	1.1162221315537764	0.0974	0.3081	0.5945		
Mia_4	9039243	7495212	163	189557	0	0	0	0	142304	0	0	0	0	734625	238419	238963	82.91858068203277	9039243.0	8849686.0	97.9	189557.0	2.1	Mia_4_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9039243.0	0.0	20-40	35.0	17.08254479843195	39.57064667915223	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	9068615	3056239	9068615	362744600	239390	358846133	1.0747139998776	0.0816	0.171	0.7474		
Mia_5	7615029	6335788	287	150825	0	0	0	0	178890	0	0	0	0	398137	269804	281298	83.20110140092703	7615029.0	7464204.0	98.02	150825.0	1.98	Mia_5_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7615029.0	0.0	20-40	35.0	17.578958395416812	39.57403340157995	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	7633438	2541895	7633438	305337520	195667	302083993	1.0655510007417366	0.0995	0.1421	0.7584		
Mia_6	6923929	5802415	10988	133269	0	0	0	0	148413	0	0	0	0	367890	226700	234254	83.80234690448155	6923929.0	6790660.0	98.08	133269.0	1.92	Mia_6_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6923929.0	0.0	20-40	35.0	19.154508375956347	39.38819649941529	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	6942798	2932295	6942798	277711920	1018503	272841766	1.7536712144008797	0.101	0.0992	0.7999		
Muc_1	3647288	3004124	37090	112081	0	0	0	0	0	0	0	0	0	405754	83604	4635	82.36596616444876						Muc_1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3647288.0	0.0	20-40	37.0	31.22712330326304	39.57733636608899	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	3665383	1229301	3665383	146615320	104456	144364616	1.5351083365640097			0.5132	0.185	0.3018
Muc_10	2986763	2624543	15806	74392	0	0	0	0	0	0	0	0	0	200710	67069	4243	87.87248938064386						Muc_10_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2986763.0	0.0	20-40	37.0	33.27610969028124	39.57718807953627	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	2994196	1004301	2994196	119767840	72687	118215224	1.296354680855896			0.5706	0.1761	0.2532
Muc_11	2977654	2570623	22834	75304	0	0	0	0	0	0	0	0	0	238103	66641	4149	86.33048030429325						Muc_11_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2977654.0	0.0	20-40	37.0	33.12704609666194	39.57759027744661	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	2986549	1004548	2986549	119461960	70158	117855184	1.345010579099824			0.5896	0.1685	0.2419
Muc_12	2851574	2481233	46361	62584	0	0	0	0	0	0	0	0	0	196531	60897	3968	87.012751554054						Muc_12_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2851574.0	0.0	20-40	37.0	33.81562631654765	39.57923027773433	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	2857201	955443	2857201	114288040	58772	112870428	1.2403852581599963			0.5515	0.1733	0.2752
Muc_13	2639178	1665944	63856	239570	0	0	0	0	0	0	0	0	0	624465	42878	2465	63.12359378564083						Muc_13_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2639178.0	0.0	20-40	39.0	32.89152849391736	39.55203930920916	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass	2687307	962764	2687307	107492280	93039	104396672	2.879842161688263			0.162	0.105	0.733
Muc_14	3110042	1976319	76745	202518	0	0	0	0	0	0	0	0	0	800769	50792	2899	63.54637654411098						Muc_14_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3110042.0	0.0	20-40	39.0	29.698416337107584	39.55898087549943	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass	3142668	1110596	3142668	125706720	95649	123040065	2.1213305064359327			0.1718	0.1038	0.7244
Muc_15	2552019	1469424	162827	333073	0	0	0	0	0	0	0	0	0	547585	36919	2191	57.578881661931206						Muc_15_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2552019.0	0.0	20-40	40.0	33.82725156378861	39.5505162775042	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2611791	925421	2611791	104471640	104878	100949098	3.3717686445814388			0.1722	0.1015	0.7263
Muc_16	2465014	1512706	94588	404115	0	0	0	0	0	0	0	0	0	414265	37170	2170	61.36703483225653						Muc_16_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2465014.0	0.0	20-40	39.0	37.52629642136004	39.52757347422773	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	2549170	932102	2549170	101966800	199400	97454878	4.424893200531939			0.1669	0.0993	0.7338
Muc_17	3209807	2215081	28064	308662	0	0	0	0	0	0	0	0	0	590630	64052	3318	69.00978781590294						Muc_17_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3209807.0	0.0	20-40	38.0	34.51435002202757	39.556787370704846	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass	3228279	1132786	3228279	129131160	89508	126977870	1.6675216113601086			0.1431	0.1017	0.7552
Muc_18	4134464	2835427	77147	323541	0	0	0	0	0	0	0	0	0	815048	79062	4239	68.58028029751861						Muc_18_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4134464.0	0.0	20-40	38.0	29.9236425986055	39.56185590199842	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass	4153267	1447032	4153267	166130680	106025	163577286	1.5369792021557969			0.1533	0.0976	0.7491
Muc_19	3143364	2014008	456108	127055	0	0	0	0	0	0	0	0	0	486353	56912	2928	64.07173970306971						Muc_19_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3143364.0	0.0	20-40	39.0	28.87510129833468	39.56901046140377	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	3154388	1074964	3154388	126175520	78553	124387881	1.416787503629864			0.1547	0.0992	0.7461
Muc_2	2869269	2348384	28053	69434	0	0	0	0	0	0	0	0	0	351940	67763	3695	81.84607298932237						Muc_2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2869269.0	0.0	20-40	36.0	32.575762616440635	39.58120204135618	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	2876582	957577	2876582	115063280	71916	113576893	1.2917996080070029			0.5559	0.1928	0.2513
Muc_20	2950403	2123695	56999	130480	0	0	0	0	0	0	0	0	0	574040	61970	3219	71.97982784046789						Muc_20_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2950403.0	0.0	20-40	38.0	31.345851835522154	39.56170326562168	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass	2965448	1040808	2965448	118617920	74884	116730687	1.5910184565704744			0.1574	0.1089	0.7337
Muc_21	3742442	2231074	704326	142166	0	0	0	0	0	0	0	0	0	599200	62238	3438	59.61545963838585						Muc_21_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3742442.0	0.0	20-40	40.0	25.92101383856587	39.56758341211434	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	3762292	1282767	3762292	150491680	94497	148089688	1.5960962094382891			0.1342	0.0773	0.7884
Muc_22	2884119	2066461	82805	142278	0	0	0	0	0	0	0	0	0	533161	56225	3189	71.64964413742983						Muc_22_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2884119.0	0.0	20-40	38.0	31.210761802465164	39.56182806604027	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass	2899575	1011893	2899575	115983000	77357	114109003	1.615751446332652			0.1328	0.0833	0.784
Muc_23	2854802	1920419	252581	124905	0	0	0	0	0	0	0	0	0	504044	49745	3108	67.26977913004124						Muc_23_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2854802.0	0.0	20-40	39.0	30.282751352264025	39.5620358259522	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	2869102	992043	2869102	114764080	74760	112949507	1.5811332256573658			0.1427	0.0885	0.7688
Muc_24	3079910	2042662	187493	193207	0	0	0	0	0	0	0	0	0	597531	55945	3072	66.3221327895945						Muc_24_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3079910.0	0.0	20-40	39.0	29.9929772725097	39.56173621956486	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass	3102362	1079535	3102362	124094480	87588	121856705	1.803283272551688			0.1351	0.0819	0.783
Muc_3	2630608	2156093	41280	64056	0	0	0	0	0	0	0	0	0	305266	60470	3443	81.96177461636245						Muc_3_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2630608.0	0.0	20-40	37.0	34.44641863155587	39.57886883944701	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	2638150	882333	2638150	105526000	64545	104123391	1.3291596383829576			0.5168	0.1959	0.2873
Muc_4	3031117	2492277	38454	101045	0	0	0	0	0	0	0	0	0	326862	68594	3885	82.22305506517894						Muc_4_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3031117.0	0.0	20-40	37.0	33.50445614347444	39.57846925737277	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	3043225	1017987	3043225	121729000	76612	119974766	1.4410978484995358			0.5105	0.1975	0.2919
Muc_5	2887631	2483753	37036	64084	0	0	0	0	0	0	0	0	0	231917	66733	4108	86.01351765512976						Muc_5_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2887631.0	0.0	20-40	36.0	32.51496588357757	39.57854275702124	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	2895117	969551	2895117	115804680	66501	114295411	1.30328843359353			0.5071	0.189	0.3039
Muc_6	2926056	2373712	170771	60428	0	0	0	0	0	0	0	0	0	252658	64526	3961	81.12325943180855						Muc_6_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2926056.0	0.0	20-40	37.0	31.55069846324973	39.58011808386443	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	2931642	975764	2931642	117265680	66896	115820321	1.232550734366611			0.4792	0.2033	0.3175
Muc_7	2588674	2021337	227806	60880	0	0	0	0	0	0	0	0	0	221556	53809	3286	78.0838761466295						Muc_7_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2588674.0	0.0	20-40	38.0	32.404545529847496	39.58162441466172	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	2594033	859185	2594033	103761320	58032	102470391	1.244133170241088			0.5127	0.1709	0.3165
Muc_8	2970291	2557005	20493	61859	0	0	0	0	0	0	0	0	0	259119	67535	4280	86.0860097545998						Muc_8_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2970291.0	0.0	20-40	36.0	30.774760187060483	39.57933885939122	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	2975457	996164	2975457	119018280	65524	117568941	1.217744870787916			0.4988	0.1719	0.3293
Muc_9	2623092	2127491	164941	79702	0	0	0	0	0	0	0	0	0	193183	54370	3405	81.10622883223311						Muc_9_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2623092.0	0.0	20-40	37.0	34.05667598016636	39.57766330727249	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	2631463	877480	2631463	105258520	66781	103822897	1.3639019435196316			0.5913	0.1694	0.2393
SG_1	11806207	9111594	324284	871086	0	0	0	0	155436	0	0	0	0	730335	382182	231290	77.176302262022	11806207.0	10935121.0	92.62	871086.0	7.38	SG_1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11806207.0	0.0	20-51	34.0	28.561001012278695	50.335412889169234	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	11810431	3957574	11810431	602331981	762331	596737543	0.9287964405795016					
SG_2	10699382	8582125	54089	749217	0	0	0	0	58907	0	0	0	0	703855	373894	177295	80.21140847200333	10699382.0	9950165.0	93.0	749217.0	7.0	SG_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10699382.0	0.0	20-51	34.0	27.374774740916784	50.34631850699415	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	10703548	3644255	10703548	545880948	678767	540746834	0.9405189938960832					
SG_3	9193648	6880693	263520	731475	0	0	0	0	155716	0	0	0	0	561032	371005	230207	74.84181469640778	9193648.0	8462173.0	92.04	731475.0	7.96	SG_3_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9193648.0	0.0	20-51	35.0	32.73637281830772	50.330481110436246	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	9197377	3080036	9197377	469066227	566437	464765963	0.9167711833578672					
SG_4	9649783	3028957	5314572	749393	0	0	0	0	52003	0	0	0	0	300869	133244	70745	31.388861283201912	9649783.0	8900390.0	92.23	749393.0	7.77	SG_4_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9649783.0	0.0	20-51	45.0	11.537103025695092	50.48946261278621	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	9698832	2847507	9698832	494640432	875030	487535447	1.436393901580613					
SG_5	12508435	9541328	162157	881053	0	0	0	0	132791	0	0	0	0	1022883	463964	304259	76.27915082902058	12508435.0	11627382.0	92.96	881053.0	7.04	SG_5_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12508435.0	0.0	20-51	34.0	26.905687374803158	50.33910317317874	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	12514013	4175729	12514013	638214663	793973	632320597	0.923524065131045	0.0	1.0	0.0		
SG_6	10751266	7889579	836251	756259	0	0	0	0	44770	0	0	0	0	699446	311293	213668	73.3827904546311	10751266.0	9995007.0	92.97	756259.0	7.03	SG_6_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10751266.0	0.0	20-51	36.0	26.566593233275643	50.34188634157131	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	10756174	3534590	10756174	548564874	704000	543553018	0.913630499790258					
SG_7	8870681	6812993	160685	647193	0	0	0	0	165680	0	0	0	0	545055	360381	178694	76.80349456822988	8870681.0	8223488.0	92.7	647193.0	7.3	SG_7_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8870681.0	0.0	20-51	36.0	18.75044560736214	50.53363039432936	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	8874951	3883642	8874951	452622501	1012374	446548785	1.341894401312585					
SG_8	10307184	7968629	112206	781710	0	0	0	0	184521	0	0	0	0	614247	425948	219923	77.3114072670091	10307184.0	9525474.0	92.42	781710.0	7.58	SG_8_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10307184.0	0.0	20-51	36.0	17.91906937187208	50.53132126097681	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	10312112	3481329	10312112	525917712	643837	521078123	0.9202179142428274					
SRX1357231	57990239	1904	106	57777653	0	0	0	0	0	0	0	0	0	208931	1643	2	0.0032833111793176						SRX1357231_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57990239.0	0.0	20-50	50.0	12.817381976558078	46.10285568921349	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	62502911	54077113	62502911	3125145550	53588238	2736639786	12.431605433545329			0.0	0.0	1.0
SRX1357232	45312185	19874	2498	45134138	0	0	0	0	0	0	0	0	0	153690	1965	20	0.0438601669727469						SRX1357232_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45312185.0	0.0	20-50	52.0	11.845994280931103	45.17363784156513	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	53889984	44474327	53889984	2694499200	41380129	2181713238	19.030844841223185					
SRX1357235	41463842	29859	2026	41252593	0	0	0	0	0	0	0	0	0	176057	3246	61	0.0720121401195769						SRX1357235_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41463842.0	0.0	20-50	52.0	7.596925320743894	45.850628916635365	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	42750886	35675970	42750886	2137544300	47051821	1913248906	10.493134294339535			0.1667	0.3333	0.5
SRX1357236	50791680	37779	3263	50547808	0	0	0	0	0	0	0	0	0	198589	4178	63	0.0743802922053375						SRX1357236_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50791680.0	0.0	20-50	51.0	10.774337767562685	43.290383700637584	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	53812228	49151796	53812228	2690611400	87115584	2229674926	17.131291200208253			0.25	0.5	0.25
SRX1357239	25187673	2640	81	25009890	0	0	0	0	0	0	0	0	0	173810	1249	3	0.0104813175873769						SRX1357239_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25187673.0	0.0	20-50	50.0	24.632105374329257	45.28900152864459	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	26464778	22281637	26464778	1323238900	70115536	1144924034	13.475636636740347			0.4	0.0	0.6
SRX1357240	38705748	83449	26031	38376022	0	0	0	0	0	0	0	0	0	215517	4636	93	0.2155984687338945						SRX1357240_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38705748.0	0.0	20-50	50.0	25.24363591972964	46.44923255326315	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	40364933	31378138	40364933	2018246650	93101668	1802769402	10.676457607398977			0.6	0.2	0.2
SRX1357243	40747136	105443	60030	40372702	0	0	0	0	0	0	0	0	0	205815	3069	77	0.2587740154301887						SRX1357243_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40747136.0	0.0	20-50	48.0	25.743725130474328	47.001559152525466	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	41841175	31507282	41841175	2092058750	61615691	1919798235	8.234019001617426			0.0	0.6667	0.3333
SRX1357244	46419609	3992	577	46158753	0	0	0	0	0	0	0	0	0	254427	1852	8	0.0085998139277734						SRX1357244_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46419609.0	0.0	20-50	48.0	24.242213169253752	43.72778896091089	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	47690073	44350566	47690073	2384503650	70503115	2035414212	14.639920471499382			0.3333	0.0	0.6667
SRX1549383	4441170	9370	48	2719807	0	0	0	0	0	0	0	0	0	1705396	6535	14	0.2109804398390514						SRX1549383_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4441170.0	0.0	18-324	37.0	66.81631628374915	120.86487704816524	pass	warn		pass	fail	fail	pass	warn	warn	fail	pass	4638216	1414465	4638216	561534389	18809587	540597113	3.728583041420817			0.3923	0.1955	0.4122
SRX1549384	3404552	787535	2039	2219321	0	0	0	0	0	0	0	0	0	352020	42999	638	23.131824686478573						SRX1549384_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3404552.0	0.0	20-358	37.0	71.78514572035098	125.00310407947948	pass	warn		pass	fail	fail	pass	warn	pass	warn	pass	3731894	1417048	3731894	452079222	21253621	428900769	5.127077704978			0.4298	0.1917	0.3785
SRX1983453	4836266	41093	1065	1256929	0	0	0	0	0	0	0	0	0	3526651	10503	25	0.849684446637137						SRX1983453_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4836266.0	0.0	20-51	49.0	14.547989604506984	42.2485717286849	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	12932870	11383230	12932870	659576370	2019037	301141364	54.343215176128886			0.3333	0.0	0.6667
SRX2629499	46520700	33673	2316	46472895	0	0	0	0	1425	0	0	0	0	8501	1714	176	0.0723828317286713						SRX2629499_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46520700.0	0.0	20-100	49.0	16.13337926312351	94.39725511438994	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	47453785	19659251	47453785	4745378500	140465009	4381464708	7.668804332467895					
SRX2629500	46441132	12716	1585	46422623	0	0	0	0	594	0	0	0	0	2702	799	113	0.0273809001899436						SRX2629500_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46441132.0	0.0	20-100	47.0	36.911426541325234	95.52310606899074	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	47354054	19998086	47354054	4735405400	30670213	4561351911	3.675577364506109					
SRX2722002	3212703	2353232	1322	155025	0	0	0	0	15675	0	0	0	0	556387	114702	16360	73.24772940418084						SRX2722002_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3212703.0	0.0	20-101	34.0	22.55881009431729	99.20316755081312	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	3216982	1072394	3216982	324915182	187031	322869965	0.6294618144374675	0.0323	0.3624	0.6054		
SRX2722003	3544373	2568726	1977	120023	0	0	0	0	12053	0	0	0	0	718846	109214	13534	72.47335424347268						SRX2722003_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3544373.0	0.0	20-101	35.0	20.091857161619664	99.26927160318624	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	3548695	1152943	3548695	358418195	209325	356334901	0.581246719352515	0.0283	0.323	0.6487		
SRX2722004	3699893	2501759	1925	182165	0	0	0	0	16672	0	0	0	0	868320	113499	15553	67.61706352048559						SRX2722004_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3699893.0	0.0	20-101	35.0	17.34366233105325	99.641906401077	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass	3704488	1221739	3704488	374153288	207078	371724543	0.6491310053648386	0.0317	0.2266	0.7417		
SRX2722005	3900262	2984229	13	187481	0	0	0	0	23617	0	0	0	0	553111	128062	23749	76.51355216649549						SRX2722005_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3900262.0	0.0	20-101	34.0	19.85894087828096	99.70862470264818	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass	3905929	1764816	3905929	394498829	2316187	389348951	1.3054228863122936	0.0176	0.0513	0.9311		
SRX2722006	4254486	3297250	4	214045	0	0	0	0	24369	0	0	0	0	568679	125608	24531	77.5005488324559						SRX2722006_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4254486.0	0.0	20-101	34.0	22.544118325261387	99.00368881223255	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	4265360	1399044	4265360	430801360	244835	428346163	0.5699139389903505	0.0189	0.0602	0.9209		
SRX2722007	3632216	2825009	17	170060	0	0	0	0	28690	0	0	0	0	457381	127663	23396	77.77645932951124						SRX2722007_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3632216.0	0.0	20-101	34.0	21.41367569098388	99.68770469597624	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass	3638111	1651511	3638111	367449211	2277841	362459414	1.3579555624627535	0.0262	0.0762	0.8977		
SRX2722008	3299113	2550108	1675	179302	0	0	0	0	35118	0	0	0	0	392004	117853	23053	77.29677643657553						SRX2722008_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3299113.0	0.0	20-101	34.0	22.278954677074537	99.7230182779432	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	3306063	1118717	3306063	333912363	199274	331975508	0.5800489034303891	0.044	0.1165	0.8396		
SRX2722009	3699440	2849246	13845	218150	0	0	0	0	33414	0	0	0	0	427424	132994	24367	77.01830547326082						SRX2722009_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3699440.0	0.0	20-101	34.0	21.583599496312488	99.7047163895076	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass	3706206	1701533	3706206	374326806	2732001	368941396	1.4386920502829283	0.03	0.1247	0.8453		
SRX2722010	3843536	3045134	2196	145372	0	0	0	0	39827	0	0	0	0	437737	134295	38975	79.22740934389583						SRX2722010_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3843536.0	0.0	20-101	35.0	21.313244248335543	99.74717916002348	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	3851649	1298036	3851649	389016549	233978	386871004	0.5515305211347191	0.106	0.3417	0.5524		
SRX2722011	3901254	2999352	714	150094	0	0	0	0	39444	0	0	0	0	540840	134727	36083	76.8817411017073						SRX2722011_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3901254.0	0.0	20-101	34.0	23.80593413374097	99.09800079666692	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	3909726	1351816	3909726	394882326	314730	392606699	0.5762797801185967	0.1029	0.2614	0.6357		
SRX2722012	4300092	3348415	1734	171981	0	0	0	0	45980	0	0	0	0	541072	149149	41761	77.86845025641311						SRX2722012_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4300092.0	0.0	20-101	35.0	19.164957325170374	99.76106697252058	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	4310318	1929647	4310318	435342118	3668516	428860388	1.4888819004643148	0.0965	0.3046	0.599		
SRX2722013	4519819	3747839	1336	183046	0	0	0	0	43154	0	0	0	0	320107	181991	42346	82.92011250893012						SRX2722013_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4519819.0	0.0	20-101	34.0	24.174269162139705	99.19148753523096	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	4528482	1519432	4528482	457376682	268066	454881693	0.5454998250216875	0.0758	0.1214	0.8028		
SRX2722014	3731954	3139983	685	146334	0	0	0	0	38451	0	0	0	0	251771	117556	37174	84.13777340235168						SRX2722014_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3731954.0	0.0	20-101	35.0	22.37522615057235	99.75592839568762	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	3739065	1229933	3739065	377645565	223031	375608618	0.539380622674597	0.0581	0.1117	0.8302		
