Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
CM_6	11490442	9610108	289520	227504	0	0	0	0	71228	0	0	0	0	631379	402123	258580	83.63566867140533	11490442.0	11262938.0	98.02	227504.0	1.98	CM_6_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11490442.0	0.0	20-40	35.0	15.447477776988348	39.38178383390299	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	11510239	4926264	11510239	460409560	1251705	452666516	1.681773071784174					
CM_7	12036727	10143478	47839	251384	0	0	0	0	73620	0	0	0	0	859681	400896	259829	84.27106471717768	12036727.0	11785343.0	97.91	251384.0	2.09	CM_7_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12036727.0	0.0	20-40	35.0	15.46769085167514	39.569428632883344	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	12057175	4007143	12057175	482287000	380577	477073747	1.0809441266299942					
CM_8	11061434	9410788	23376	215705	0	0	0	0	70055	0	0	0	0	670141	407530	263839	85.07746825592413	11061434.0	10845729.0	98.05	215705.0	1.95	CM_8_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11061434.0	0.0	20-40	34.0	16.027497755433227	39.38518848460336	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	11078747	4787777	11078747	443149880	1071574	435786222	1.6616630924056666					
CM_9	12716745	10701588	186499	263184	0	0	0	0	83550	0	0	0	0	798918	400027	282979	84.15351569918246	12716745.0	12453561.0	97.93	263184.0	2.07	CM_9_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12716745.0	0.0	20-40	36.0	14.439377049959862	39.57711458395997	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	12738713	5476472	12738713	509548520	1315504	501002279	1.677218295129186					
Cody_1	3379818	2393024	6982	683483	0	0	0	0	18585	0	0	0	0	124909	136066	16769	70.80333911470973	3379818.0	2696335.0	79.78	683483.0	20.22	Cody_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3379818.0	0.0	21-151	35.0	27.999045374516896	150.56825308345006	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	3381428	1180295	3381428	510595628	296362	508574993	0.3957407563231231					
Cody_2	5088605	3588754	8413	1059574	0	0	0	0	34034	0	0	0	0	176998	191677	29155	70.52530113852421	5088605.0	4029031.0	79.18	1059574.0	20.82	Cody_2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5088605.0	0.0	20-151	35.0	24.40432054815485	150.57146329888053	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	5091821	2232033	5091821	768864971	1258389	764249067	0.6003530104897964					
Cody_3	10208735	7517600	414	477257	0	0	0	0	623994	0	0	0	0	808403	345781	435286	73.63889845313841	10208735.0	9731478.0	95.33	477257.0	4.67	Cody_3_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10208735.0	0.0	20-51	35.0	18.049528615513008	50.36997052034361	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	10222899	3470245	10222899	521367849	316851	516850870	0.8663708375312572					
Cody_4	10941691	8233957	1182	313795	0	0	0	0	499893	0	0	0	0	994347	402527	495990	75.25305731993346	10941691.0	10627896.0	97.13	313795.0	2.87	Cody_4_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10941691.0	0.0	20-51	35.0	15.284213804682544	50.55831415820462	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	10955835	4721597	10955835	558747585	1244437	551335727	1.326512757992502					
ERX4294041	6941426	5139818	40855	293565	0	0	0	0	43376	0	0	0	0	1076822	190153	156837	74.04556354846973						ERX4294041_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6941426.0	0.0	20-70	34.0	14.800505011776128	69.9862930181781	pass	pass	warn	pass	fail	pass	fail	warn	fail	warn	pass	6952605	9101	6952605	486682350	62835	486606829	0.0155175136308107					
ERX4294042	8572091	6355577	25798	314352	0	0	0	0	41692	0	0	0	0	1420922	233041	180709	74.14266834078173						ERX4294042_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8572091.0	0.0	20-70	34.0	15.601254473359738	69.92144110462664	pass	pass	pass	pass	fail	pass	fail	warn	fail	warn	pass	8584742	11395	8584742	600931940	76766	600840579	0.0152032191865188					
