Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
USA300HOU_RS14890,-0.0027160798460955076,0.012909387208919878,-0.004267411945435054,-0.02873659258210461,-0.007852378792531733,0.004575591825724971,0.0018943407117306143,0.0020093969295621504,-0.007586251792549796,0.023199690975543606,-0.007470445394433198,-0.012263019322872597,-0.009022745888088891,0.02290657777516862,-0.002643651672219806,0.012833482019189877,0.0007389358967274659,0.04997906087903366,-0.000296372898594358,-0.007875554879541048,-0.0006534495888716007,-0.017983466156382577,-0.01110765967738509,-0.007414093352367708,0.00740382614738921,-0.014942213346738273,0.009524070946674235,0.0025671098345609006,0.003185828816974018
USA300HOU_RS14895,-0.0008427671901709054,-0.019104373052152058,0.00088152228818106,-0.01656618804894711,0.060621669545060236,0.008313346937826283,0.00863155859913184,0.022369017403645657,-0.0013597567569502472,0.04858082615510938,0.008471030084298814,0.08362450705975967,-0.012578726240339821,-0.031018585565896865,0.004810506274559658,0.003137057205974769,0.008912169798579277,0.027611647104581256,-0.009728437827772921,0.03331381877151125,0.004675705129463727,0.03050255552810231,-0.013169429113051991,2.2933626876662713e-05,0.028508632315352323,-0.026710368101945207,-0.012155752781055186,0.00274908721041996,-0.011065549055834309
USA300HOU_RS14900,-0.014917218966329672,-0.016417659477671088,-0.0014843150265315705,-0.03638138577711903,0.0001247951800592324,0.03637521273343717,0.029075152008847104,0.0030969666782489987,-0.0277914926011778,-0.006943322170314129,-0.021264408518865723,0.00977084779633078,-0.010081208169934665,-0.0024553978955875627,-0.008718218181348946,0.036950338884340544,0.005384284032815082,0.04929189122798647,-0.005943206870578321,-0.013631136467049105,-0.010827466815902352,0.0008953979955644939,-0.014303992177604852,0.020156419582447106,0.021217690598352136,0.02437059783782524,-0.025867428640513012,0.005140660801966052,0.02727719649838671
USA300HOU_RS00005,-0.008073156595216995,0.01703790387179377,-0.008069526898687675,0.01004195594975223,-0.011546996047499869,-0.009094005641961854,-0.005186270184742092,-0.018568102905394922,-0.012820018840876657,-0.008287422162353585,0.003919822865559117,-0.0003468012450931338,-0.00853644347050599,0.0026993181288782575,-0.0029654424275548054,-0.003235348612812647,-0.0010294231232683602,0.007735665975735099,-0.00042849903233202024,-0.004791691075632029,-0.007584183579581417,-0.0021061317671207127,-0.024885368844916943,-0.010908555886375092,-0.003593943684691,-0.0010144184511385137,0.01229304914475638,-0.0048899643613182385,0.0010733210740715641
USA300HOU_RS00010,-0.007592328764315331,0.011151354968127709,-0.0038773843286256555,-8.321522400329998e-05,-0.0006297286019857107,-0.004438280533208395,-0.006675315886063681,-0.011388346903263043,-0.008269433743017808,-0.002535093582516042,-0.002026915126370085,-0.0004773663362551489,-0.008675187259845204,-0.009357157796295548,-0.0015309319386958358,-0.005946227315062255,-0.002200067225997787,0.013879370333238179,-0.003551767954162035,-0.011036851328283236,-0.004339496895918386,0.014944379341412871,-0.02766379823527115,-0.00724672167564335,0.003256788828639763,-0.0028207004818677347,0.015380984709643827,0.0011490398821504021,0.01760699265276147
USA300HOU_RS00015,-0.010881621267237174,0.002488118327806589,-0.00622897936043931,0.007362060526379075,-0.025665152465305083,-0.0012791173072036841,-0.012663250825672729,-0.01452988349117973,-0.0020016296754183185,0.0033017267486203767,-0.007995334608170706,0.009435653843490132,0.0010041401171275053,-0.006696646625982416,-0.008290433631126142,-0.013054865387811697,-0.011900608932986638,0.010314592982605312,-0.0027485808295024208,0.005811672216470238,0.002503187190844009,0.00977041158816642,0.06837407768561439,-0.008999018994663287,-0.007950400846094616,0.025821293534667913,0.013559612142027992,-0.003326056264356705,0.015046520832442204
USA300HOU_RS00020,-0.006930606004668378,0.0035093936769636422,-0.006367966161744151,0.0012727474442926427,-0.014152446431367482,-0.004969726065955465,-0.010146713084250705,-0.006277312865726523,-0.0036935482726300874,0.005731816856844884,-0.007152667510040145,0.0008743013547826123,-0.00902475073945301,0.0013704084460055513,-0.006073185690591625,0.00038621764109464954,-0.005098281309681837,-0.013560809800091786,-0.01462807671267562,-0.001198070637893895,-0.004162177237988274,-0.0041535711377496485,0.005331732761141001,-0.016568241967215847,-0.012265678137510866,0.015997531430093026,0.01605605549189513,0.0011750878253307645,0.003404277352179706
USA300HOU_RS00025,-0.007028860425451346,0.009054683294168964,-0.0062216329766581506,0.001308216998934708,-0.013917411732197349,-0.005825366443039215,-0.011542373957637613,0.00455423147796924,0.0037646825499591885,0.008249596223186334,-0.0071074414389425316,0.008767023648669714,-0.007930633731785026,-0.02479785264833673,-0.0046279762268103255,0.00515438464417165,0.004614081916273113,-0.01937341110523838,-0.00033477124678396635,0.0022713756030918525,-0.0007508112607846123,-0.007236491874370957,-0.003841314295884444,-0.008494480272806288,-0.0028639836170326373,-0.0021074069806635786,0.026030503212607095,-0.0050295225361492515,-0.008727075124591331
USA300HOU_RS00030,-0.006539540328577234,0.00790504174841198,-0.004079142138371947,-0.004548025457957647,-0.00926834040292977,-0.004145466856658188,-0.00830278942241497,-0.002553402455253684,-0.00011191564856655285,0.008207516845360328,-0.011323857461387787,0.004133740477455461,-0.009699045654444495,-0.018168817054897136,-0.0025919041947467867,-0.0012022754037930093,0.01694797228071338,-0.019280540311937194,0.0011338248056876113,-0.005335916597593452,0.000729074522315566,0.0022683993952837965,-0.010130898886346922,-0.006447055073074707,0.0027172291294876197,0.004892461816999544,0.02234450177644133,-0.007042129115269779,0.0006809369313194134
USA300HOU_RS00035,-0.006549323434380233,0.0149600913672933,0.000524360091630096,-0.009150630465595472,-0.008104355571395721,-0.02074869005279321,-0.020907168616213424,0.0030816586581407924,0.006045185728877717,-0.01750131768449148,0.033371242820747736,-0.0025516331677953967,-0.011929623398849749,0.0030728918446100125,-0.004155895646020883,0.01618340035913503,0.012331194111392168,0.022492044019516048,0.0025982127800607997,0.02170234335763564,0.029315644301242262,-0.00339193381635401,0.003202117701213104,-0.012933401985605225,-0.00916517388342549,0.014700603943967818,0.02850384401864469,0.014894565839527061,0.002361625018132034
