Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
USA300HOU_RS14890,-0.004704199254131837,-0.01790872789514619,-0.0026677780104498463,0.016265915091166247,-0.0026627261901790438,-0.009792290512900247,1.4158443810503975e-05,-0.002430263929410631,-0.010430157128432913,-0.0021042115633723986,-4.5422348396966665e-05,-0.005234726304796707,0.009968436644498185,0.0036999989686481477,-0.002154270940784291,0.03674312105872436,-9.597122318926762e-05,-0.009330906713516442,0.0023664659977037615,-0.0013844956845820906,-0.021991408679069638,0.020278144589089518,0.018393839623871734,-0.004838495366278242,-0.014197954756519266,-0.026087937669573496,-0.008212876022562045,-0.00683229073357435,0.002962161123980339,0.009618471040455483,0.0017262038520543415,0.02521136207011938,0.007574709081034748,-0.003791915951243231,0.008707409350673125,0.008622198507021124,-0.0034795615560685423,-0.008374440047846305,-0.019720619746078066,-0.026533011022561684
USA300HOU_RS14895,0.008455511605031173,-0.004349943451715163,-0.010417888631517169,0.016463911776667645,-0.026623001082484294,-0.005506710623729304,0.008408417524470427,0.013874477152666669,0.011439797717218448,0.0031272781633621288,0.009559479950124879,-0.010409910523567963,0.0021036812460369075,0.015734401080034228,0.01217915419266405,0.02778885864049875,0.0022672260705316983,0.06236119629317706,0.006204132805288202,0.003493355114995251,-0.019723019059170573,0.03237912402813662,-0.02193873838004117,-0.014668035958302534,0.0678249529754724,0.040731656544934276,-0.0075568921596869155,0.0015215264713609518,-0.02247323283237298,-0.018768510415318587,0.02158558457946653,0.08682200390736831,0.02871505698144423,0.015511853854533707,0.009779789543466382,-0.024061514724498752,0.018120413156108107,0.03202237948703386,-0.013498907398251636,-0.012908704667922632
USA300HOU_RS14900,0.005649310539435761,-0.004518090352790665,-0.018385301853759056,0.014795092081283458,0.0023938754065494857,-0.010735006539699454,-0.006529202611702566,0.02290958998410714,-0.015984955415599297,0.013635080232971402,0.005590137925094992,-0.027752253948666507,0.03382772357984393,0.0018665689986777435,-0.005852614286467588,0.018516623192981838,-0.00952113512073622,-0.00791819578369032,0.018881222218970362,0.037782346095551124,-0.036694330108735934,-0.017132485264998536,0.0420032225648296,0.0013696299375543124,0.010101257614233633,-0.004461100758615012,-0.002991963927417432,-0.00834297090068556,-0.018522501937252252,-0.022568994745213667,0.03524530889111936,0.0034436313495084824,0.0264364983135959,0.007726902506464985,0.031536448356335366,0.0032215511548706155,0.013752628587140039,-0.010373120438586136,-0.029296213009504777,-0.027273938431252222
USA300HOU_RS00005,0.0006290726252351819,-0.01793941037469301,-0.004624137854748928,-0.014178323326974294,0.002261032513126697,0.00033339301305461893,-0.004771799618562195,-0.004530978596341421,-0.013234787576906997,-0.015786593438851627,-0.0005820560178833085,0.005303195989984483,0.004380653237016966,-0.01579234271949283,-0.01158090039967624,0.010631197688984568,-0.011418878278068551,-0.011853420830283103,0.006522631339067327,0.00254187092127359,0.008367648771721659,-0.00795383603131034,-0.015654575769219206,0.001079784473482489,-0.0007556626350092051,-0.00893430004633234,-0.00571061072149398,0.009932385547701627,0.027061781640609493,-0.007115255469108782,-0.004341411145085533,-0.01732387640135694,0.0111913752937675,-0.007035953621113763,-0.018136014520691544,0.012974702283398608,0.002201133282819191,-0.0009654461782238673,-0.012638495390998743,0.0007023128917622528
USA300HOU_RS00010,0.005609415653615727,-0.021405901382411944,-0.003947663605881748,-0.012750448600483369,0.000912721584635326,-0.0005897705516169099,-0.0038456978092669403,-0.00936270107728338,-0.002334024162600385,-0.009483528549694968,-0.003616424804362155,-0.00021179274988992978,0.0017030895880586357,-0.01034057492079926,-0.011211698930722968,0.016535200760758772,-0.009015557947069533,-0.0021754342295953392,0.007818056719398057,0.007277812163923956,-0.006324705727350308,-0.004834630534647495,-0.001203291810079349,0.0030779481083360112,-0.0031296307444329853,0.014059158459723595,-0.006057578548335,0.010352236621980277,0.018814380137138334,-0.01907363163275375,-0.001842637035897759,-0.011107636611070441,0.007186141296473269,-0.007711009183538576,-0.02152547228371683,0.0008189466219268103,0.015434825469080267,-0.001221784686477159,-0.018465550529003723,-0.008318790584561789
USA300HOU_RS00015,-0.016359994586132725,0.062828721161065,0.003388648480872162,-0.02327994787490619,-0.006230870026227396,0.014242317620711223,-0.0071767815790811105,-0.012461177827037874,0.02907518061598987,-0.0009332368549565236,-0.008495389048100625,0.016777259259597475,-0.01549295117044933,-0.009008955548888246,0.005804854697932222,0.0052758003014347805,-0.011696675346602632,-0.02911483387661967,0.0073136731485096565,0.005310412693880992,0.014485898050139159,0.004410734141063475,0.018945088845658715,-0.01770357288306456,0.0006692695125600912,0.012660293682100381,-0.007842526355108992,0.005716269370074858,-0.005842289902110503,-0.0017269630294713331,-0.0036747432330849683,0.021648088472393644,0.007657046843732006,-0.008416995848698199,-0.02211886416554888,0.010393716478452431,-0.025654382301893097,-0.018987550785814898,-3.1020713257505675e-05,-0.012173764711183145
USA300HOU_RS00020,-0.008654637500106796,-0.0017293241455967913,-0.006111784646777117,-0.027514709967554517,-0.009481726541721122,-0.00624019379009496,-0.003267025698866097,-0.011705219823403074,0.009216765112638645,-0.01297568003451182,-0.00451517580266734,-0.004968500190091821,3.894965973264327e-05,-0.0027227402754175824,-0.006036712546153714,-0.0025788069025822085,-0.006390385326105916,-0.019870907970449395,0.018842954389040337,0.0021569514017579627,-0.0056393808589009845,-0.0020012926615508983,0.005150490078718168,-0.004625279648627346,-0.0036801899945128978,-0.007163903865213801,-0.005713359529921569,-0.00886743354771454,-0.006356242867200202,-0.00307774623746172,-0.007765742756284941,0.0014372224110881702,0.002663115252303089,0.0004846380869201506,-0.022237268617988654,0.005240218070375452,-0.010961476519847762,-0.011665214804594383,0.008092819460567254,0.003549449475376373
USA300HOU_RS00025,-0.0010405165693866448,-0.008745323367020906,-0.0022358812215866634,-0.018286418159256832,-0.011084035357979739,-0.006742483096103437,-0.00502479455937806,-0.009560676544258528,0.010817216508141565,-0.006687281332396571,0.0033043414927987815,-8.309339384194476e-05,0.0075162431966665855,0.0013459887081695026,-0.005951913109913803,0.0025595950599192315,-0.007297732091016502,-0.012938749740281301,-0.0007558375732789381,-0.0018901616708529895,-0.0028638046174220932,0.0024655630693368193,-0.021935252155584898,-0.005997335403099758,0.0020834177813030775,-0.002410948360748476,-0.006763431177579434,-0.0075030478254445865,-0.002281313693574925,-0.010666923072645131,-0.00869297824101457,0.0007000125492795333,0.002763008190402746,-0.007560929248126454,-0.027702507082923558,-0.018665194921386158,0.021108985743825293,-0.01399561645397301,0.022759162720093075,0.007656736595995287
USA300HOU_RS00030,0.00045638067774818,-0.016623815745496432,-0.00044044537006731547,-0.016854334742865476,-0.01159913303142632,-0.006322243548103405,-0.0037936309830170225,-0.0096013400938065,0.006458699481581783,-0.00846036509383784,0.015850338837965695,0.0001538445049601966,0.001667950924451786,-0.002308033019853978,-0.009441347504661803,0.007623292068922681,-0.00662820064627959,-0.011560680134783315,0.0036389310531054152,0.010653346263431642,-0.00022200310273746884,-0.0013186407370458892,-0.004560452718777965,-0.0094948336060715,-0.0021855909323296677,0.008467110196228558,-0.006359242472442113,-0.0026725867014801385,-0.0045588115181463915,-0.017939581513086087,-0.00939323019107296,-0.003991348178951596,0.00761099042606333,-0.016342012301886106,-0.02875110298090536,-0.01116174428245135,0.012977793147889135,-0.010775680613968084,0.017025381402993568,-0.0009798541572755947
USA300HOU_RS00035,-0.030151780952962136,-0.00011056596653030217,0.018570205586681886,-0.009209864553803265,0.004007412243479715,-0.013624409244269699,-0.00045031218909094095,-0.009032600871382584,0.0030679452895107724,0.003699051365369676,0.01279929102176784,-0.00880876016872369,0.002713855086833777,-0.0013977267629623309,0.010374123547219408,0.030248923144745175,-0.004008409790905473,-0.007729851026426336,-0.0017787558820658218,-0.017879165425160406,0.008417272333293677,-0.022891232806326604,0.005480565678320973,0.00969721102801352,-0.005864289593705069,-0.009618969847415232,-0.0019277548722717855,-0.025562600129429222,0.0004464480953462758,0.005565831824177306,-0.010054297213355913,0.0011199481871031413,0.006024632668480696,0.03137138563944942,-0.02119108423972994,0.021144445838627717,0.00976372493019261,0.02456491460241913,-0.004771747422066239,-0.008660409562317556
