Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
USA300HOU_RS14890,0.00017119508239650565,-0.015786404433106364,-0.007084400783960847,0.008068821909717633,-0.009455554189262878,-0.014944985535682093,-0.005421849012698931,0.010617741228620699,-0.017878421198185297,-0.009399284112457353,0.007989881543818713,-0.035245885814075784,-0.012614151553689333,-0.008031112980178548,-0.007387013013217298,0.014742087128556652,-0.022414795453872677,-0.000699525601876168,0.001956613952632214,-0.002499067194165916,0.0018242357938789435,-0.008787712227605276,-0.0014755365046942178,0.029624691561154496,-0.01271671424983388,0.030609548531520515,0.00047233933145011264,0.006507880011391515,-0.005766792982751098,0.008034943451448326,-0.00107783739767045,0.0203069783662009,0.0334492155202432,0.003392793839878154,0.015597902781268401,-0.010748036833805558,-0.003912906953460026,-0.004296948058164876,-0.006651306462450013,0.0029831256363945778,-0.015271186858554817,0.015837216073611868,-0.014480231177760084,-0.004817171409448091,0.018512193740844157,-0.011206939687851795,-0.0172656969537182,-0.01292532790863476,-0.010398722189951925,-0.022181901480852455,0.011930366752171939
USA300HOU_RS14895,-0.02308536272546469,-0.018236943022950692,-0.007774733563878232,-0.0033595090075680266,-0.02486156198378803,0.0467015364931811,-0.0075430024305224415,-0.007829944487499466,-0.016550758101281916,-0.020041806334772642,0.005591444046516561,0.009468355335661156,-0.009746475842249521,-0.03325790195692705,-0.00020066270403002349,0.03704848345456732,-0.01275325219135918,0.02895086191888642,0.024469070968028493,0.003040929327950128,0.01393687816750287,-0.004337817279398813,-0.0038282225772363477,0.08217164960326583,0.07272221291786374,0.02068922967570603,0.0010145441531516479,-0.0057588163187487895,-0.0018279165296455097,0.003922444448979224,-0.0027001836616486895,0.01437826519083061,0.007465338381075137,0.005800039857613893,0.01973001174620861,-0.010763497287112057,-0.007200358953234232,-0.0077027897107102145,-0.006947437762342944,0.007096228992835969,-0.005811811338396326,0.06661897504913655,-0.008176238924495566,-0.008492681603594544,0.016400802602316748,0.012837082202535452,-0.04809892144033408,-0.06215889857489197,0.0023437389094397433,-0.02750227658113953,-0.009968960962060801
USA300HOU_RS14900,-0.0016140634453598026,0.004184214747957642,-0.0008301899012258063,-0.02397948186392314,0.004547482455925815,-0.00923880488562765,-0.0019396300642090783,0.031671092263644764,-0.015696985160070814,0.014443206112142823,0.024268612888183695,-0.016986190579224264,-0.004132062384716679,-0.008747141400930683,-0.012789813457723707,-0.0004168882284924515,-0.0026264645687082543,0.016152498318429756,0.02527368328566001,0.0014643276150614387,0.025671282751088365,-0.02157359109268526,0.00038065169609328807,0.00048675895208935734,0.006160573268001492,0.0338203301185443,0.033985053686225015,0.0028437926324132922,0.0061047771584295816,0.047409917342938604,0.016009913805993065,0.027005387229144952,0.040080397143899195,0.00542572985677831,-0.018228214892143515,-0.005112077531829896,0.005035734056175083,-0.020120037617082302,-0.009283738590040455,0.01289469504672245,-0.02040901332914533,-0.0017428241499959805,-0.04344964358712984,-0.011842021685602857,0.031496675725460645,0.008300088549469488,0.008916097339178778,-0.02752349979741982,-0.01844018162510789,-0.011959550239783276,0.025981454923989605
USA300HOU_RS00005,-0.003919196859808583,0.012755735753325607,-0.0009237046352739381,0.00027812245020277865,-0.008204946213735926,-0.006676985338318049,-0.003522960183161303,-0.019505355471302607,0.0027832037852838394,0.0031197712000528037,0.003769198397439284,-0.005995483492664778,0.003704850945028645,0.00454604781289757,-0.0020114961915651194,-0.008067422455199837,0.006413597086912516,-0.0069575442676988565,-0.0032645955019351097,-0.004974954062181849,-0.006400918032201491,0.001045456538935217,0.008572326142730558,-0.00482124392977008,-0.005534090975596041,0.011235061025993469,-0.014849292929417215,0.0204618892350112,-0.0017251648509930076,0.009428492912930546,-0.014159866637534813,0.006378682803753071,0.011238125599924195,-0.010906557765102201,-0.012101490121779435,-0.002843482821077891,0.0144424264111096,0.00045680055763305187,-0.0024044961281505395,0.0009737171439340153,-0.01282436244028587,-0.016391789125480647,0.02054552085466623,-0.010103867960052783,-0.013334296364971682,0.007355106993795917,0.01869581431452466,0.0034216410177544993,-0.007137707654184384,-0.0001460525954378298,0.00926461199614159
USA300HOU_RS00010,0.0016372149214847998,0.02223067520152888,-0.0013716157913625415,0.0006840843174734781,-0.008379901651017652,-0.00406424317039973,-0.006074411324241995,-0.003287193841252768,-0.0013913806670075612,-0.00025964678922628425,0.00018645826636564698,0.021177526422058862,0.0075508176870643685,0.0046564846516719115,0.0031827472672635014,-0.0023377267738950735,0.007156086761737914,-0.013576595124731961,-0.001327459890492516,-0.008504943888760741,0.0031095888074624896,-0.004063416730201914,0.006530577690105006,-0.0005251829824378111,-0.006506878601451941,0.004864504320166072,-0.009165308704872824,0.012932553763376632,-0.0102781474002129,0.010761119440006829,-0.0007801853712147878,0.006220001267517786,0.019018541196990913,-0.009593787332372608,-0.005107426744928129,-0.0024513095275785326,-0.0005160221609832376,0.0014218883852026825,-0.0025818507055794947,-0.0054051327783773626,-0.005771574876642796,-0.0004913762777932269,0.021998668173006636,-0.007253476764460076,-0.01522462854956959,0.0054779296139661595,0.021259823999405812,0.00017564472223021224,-0.00766437125855563,-0.011287882175600727,0.006404767485921097
USA300HOU_RS00015,0.013905354834346908,-0.023802639619746224,0.003309079891723454,-0.010244237577256027,0.005081986273483049,-0.0084216136739994,-0.006110041530193514,0.02005007990181827,-0.011765598180584114,-0.007080011150372028,-0.005196119287737881,0.008080594986945152,-0.0077520252327816,-0.0005296767040393861,0.023748320941674925,0.02679680374120861,0.006732730711849648,-0.008954488117922491,-5.874586657101824e-05,0.014843603396810656,-0.004936070682516289,-0.011096701018417504,0.013215382802056959,0.009933577320564043,-0.00369567762295228,0.05927481341415177,-0.004318865100324685,0.005366074274053516,0.01536575133489097,-0.00015189511542272615,-0.01829958662760566,-0.008729834176260675,0.0019352320749124999,-0.0022811042321555235,0.001534701874419603,0.011797210780824297,0.0063667432506462575,0.004537532286984275,-0.003085473159966619,-0.004236805997030815,0.017367325966107454,-0.029115924021486758,0.013777139690419831,-0.00944500024037403,-0.007157007913461789,0.003049325881770842,0.01364495424684194,-0.0013192693296025476,0.014297706207167936,0.03518911095073504,-0.02372505309851593
USA300HOU_RS00020,0.003780716514931987,0.003473317480218826,-0.004809603615941976,-0.007681395255183455,-0.002718256699507542,-0.014100734435556468,-0.004425231860938706,-0.0036782032693969654,-0.012906700255772159,0.004762282475194972,0.0002886382771242467,-0.014856043509961362,0.01028443290888003,0.0007056456862680107,0.004260071589483941,-0.010530709982724954,1.8493274141897822e-05,-0.011588652943642561,-0.0032359828222749154,-0.00019884617302361199,0.006439145539074836,-0.0027359377037261857,0.0018181633891337882,-0.013712067794899484,-0.00192947158702547,0.04752346420604562,-0.0013379475507216611,0.0021127131112836416,0.006445068877742762,0.0009886094862435572,0.008141007940437199,0.002907260180131079,0.0037686119856329883,-0.001796746365598025,-0.005809640080191359,-0.002353379973638726,0.0034659772699611106,-0.008035931406509477,-0.005044527661444493,-0.0013150587730657564,0.006009042687883823,-0.01667628854311524,0.011535470164340646,-0.008755779843260026,-0.016507652503322246,-0.000980917510992333,0.005915953369429221,0.0015136858554513901,0.013803346478637171,0.02639127882038589,-0.007443062069541193
USA300HOU_RS00025,0.010568527214568054,0.011237262299539884,-0.00026273459253713593,-0.0031332674816639664,0.001584634490018463,-0.009215880236461716,-0.006722130378872054,-0.023913821910674652,-0.001890009583642824,0.003245676976695037,0.007704642395555109,-0.00908284656889904,0.013954121297408986,-0.004499987295954501,0.0008524273809447784,-0.012851283028997873,-0.007076268901821844,-0.010212986090725245,-0.009202327288598561,0.0017522584425066273,-0.0023966630719832282,0.02149021410601547,-0.002848440029541054,-0.00046959837658321594,-0.000354008578105007,0.03379896182207314,-0.002979003011768443,-0.002307868743590277,0.01418372880183805,-0.0009163475568729737,0.0027735460281017206,-0.0045427200813856075,0.013238529355525126,0.0019515487573487488,-0.0024297530864977714,-0.0022157834162419283,0.010550640415826727,-0.003328830481654033,-0.004069656539328652,0.00816125122786693,0.01659287670021639,-0.008884118970848133,0.02302614989767686,-0.009191685673143895,-0.011154634422126315,0.004769219354448964,0.002855656688128206,0.0003385275864636589,0.0027279107487499545,0.0075046663676850405,-0.0016649858868159257
USA300HOU_RS00030,0.00947217321921387,0.011689882716517155,0.0033274233441817048,-0.0016017001658926435,-0.0012037888547996424,-0.011017067658476798,-0.0070979894447694945,-0.003933172668111769,-0.001882281673396503,-0.005532795890668693,0.004614412732542461,0.005438801849916344,0.013159819980105975,-0.0019440070469051679,0.0023652641212819313,-0.01766918792294183,-0.00814773272616676,-0.017488529697657514,-0.009773001624487689,0.010534866788273223,0.004165086030401869,0.002170009027806127,0.000687533431221984,-0.004254336784523181,-0.002929563350558211,0.026603175657199954,-0.006478445438037369,-0.0022628090481021453,-0.0020218418777457497,0.0015410413343479817,0.003165973147829565,-0.00846020322803131,0.012648113312898472,-0.0028828404613418994,-0.0030601431341194907,-0.001804657107479399,0.00813144599924463,0.000419633054077255,-0.004074780910664708,0.016088479682191407,0.011206883003805191,-0.0004960533602334743,0.023861682008977567,-0.006384033011674523,-0.01308272760802145,0.005065869771886792,0.017360511718009022,-0.0027179742409968884,-0.0014801602821118965,-0.0010000152601287095,-0.0006484372825077314
USA300HOU_RS00035,-0.004547268898736978,-0.013143527266420126,-0.00838717864488477,0.02038932736057033,-0.0035343150055878424,-0.005026097415114546,-0.0012527852467280212,0.013352749323235096,-0.023581050386378408,-0.004994457990858256,0.010407504510054441,-0.012369758102545807,0.013377921053647804,0.016036334411097093,0.02827723270714886,0.026010786064402266,0.027424526033727626,-0.0033693863758923388,-0.008604996271123743,0.0036389188579324275,-0.010670500262767935,0.004262392953051976,-0.025063601102007036,0.005221665355607632,-0.0058958500153202574,-0.006655700514785658,0.003324466652002074,0.010856134198916663,0.01476290329719572,-0.006888126360485493,-0.0018598537962243745,0.000994302558711411,0.018601460699229258,-0.0028186534786833767,-0.023767071150189462,-0.01605572916476278,0.017989911239109407,-0.009855607129602904,-0.002849196999615094,0.006160664900160238,-0.00875597331674192,0.00024674934153691555,0.033857149263973194,-0.00579216742731959,-0.007409222157046619,-0.01186774850014217,0.004962337335311909,0.013879242139894903,0.023939309377311098,-0.01629539516199597,0.011181347529654776
USA300HOU_RS00040,-0.010798124223135759,0.010485545233256378,-0.010012749795459994,-0.018296321680669317,0.001124155389067513,0.0051839248794260835,-0.00011188709840978941,0.004977728120418438,-0.04040984065265737,0.012269178062149918,0.020634782253700815,-0.046384286504469546,-0.01020128476893641,-0.0047186137872275895,-0.006405886290505457,0.014192208161512392,0.008170841366221303,0.08602437179072231,0.006393969493059259,-0.007691395030503086,-0.00029065139411520055,-0.01733566367503404,0.0010215733531770096,-0.0074921943738154115,-0.002315276693808058,-0.02796447211107153,-0.023281324641627448,0.007907764097866475,0.0012282981388234242,0.008246817988128523,0.025455160845237388,-0.006291584375226387,0.01984734612244396,-0.01107218533231196,0.00684487087653083,0.0020762762093981895,-0.0004336104443621924,0.004902600874782307,0.0036403111277677636,0.013340770218915084,-0.005657772667695837,0.0037266853642922747,0.009579685522451906,-0.015893707537714935,-0.00548181880414214,0.011080713129986828,0.05142514988144022,0.010648610665333434,-0.005249955973666034,0.01258123773580489,0.12860048713846176
USA300HOU_RS00045,-0.0074347990946421,0.0035553505152566976,-0.0034076215995775057,0.013557014292836235,0.019025556988175273,-0.0039060568844200565,-0.004404876741766889,0.015993665932458025,-0.015097754808108203,-0.0006723909245112193,0.010336429448640104,-0.04309670298232527,-0.0014756206720253683,-0.02003393381678035,-0.02326743218481545,-0.0018280048698249387,0.022329813509700286,-0.009392372042487062,-0.013491306703137395,-0.005583337275822787,0.015318148367272041,0.0017335876110279366,-0.029173948558213546,-0.006759723215290544,-0.006372897549775261,0.0009138717454265794,0.027308076088797005,-0.004573418617903543,-0.01794518763658431,-0.002939234825580936,0.019322967389071175,-0.004371726332969242,-0.002248873937252387,-0.0034730352344550177,-0.019836322625789687,-0.00503435125503166,0.002130788267245137,-0.0002764436020121975,-0.0016939500408114608,-0.0016403481039783546,-0.004560741663625879,-0.016570319112457283,-0.03145269983513586,-0.0025992324894550957,-0.001478074579964534,-0.012877552946636412,0.03884898011013323,-0.014218684748982616,0.01902784881763797,0.010264266736993351,0.006558346388958225
USA300HOU_RS00050,0.004941671128866172,0.02260409552268317,-0.01086719896072446,0.009320301389374827,-0.016105901523787797,-0.013819167822718961,-0.0032478688900280683,0.0007316961629339564,-0.007879907954414435,0.0018073115113658716,-0.01697727857874868,0.013741150103549633,0.005140451455975702,-0.024436571161778928,0.005372889577845014,-0.007177303409431725,0.013728411532533832,-0.020075449782206375,-0.002385227007437959,-0.002662626576567807,0.011922215733892877,0.009833815433131266,0.0208525933655655,0.005011037743165296,-0.0024383535049950673,-0.0173527555062569,0.015578132552730018,-0.009921772725786511,-0.010799879507857945,0.016247036990345836,0.0263416916206335,0.005343102851755701,-0.0030571113774088827,-0.005076388522776505,-0.03827020263460706,-0.0018671369584364404,-0.008856077464453648,0.0060547043372538335,-0.0035400357311117015,-0.01599082803182225,-0.00399175678049328,0.006173354100620124,-0.019749437027431854,0.03926236835912298,-0.0007176322827986251,-0.0343560969113378,-0.0041129165705337594,-0.013426391035031566,0.003312473375188115,0.0017839202812906592,-0.011344453882099544
USA300HOU_RS00055,-0.0007327314863816526,0.008707897902134297,-0.009289656743090074,0.003605645400304414,-0.009359412161737319,-0.014698568104728936,-0.0016168593768668181,-0.006475662589377598,-0.004568046238492902,0.0032330158197593157,-0.018572869993695725,0.007965578035447783,0.014983954352270781,-0.02264647583386413,0.003965570747245214,-0.021318484343285524,0.020619070687701333,-0.023063828008665938,0.008633291162617678,-0.006296558270211304,0.02737517684276931,0.028679966795839645,0.02618549858890108,0.009723758831257777,-0.0016981384082136613,-0.009825187950065815,0.011134111643721235,-0.004183139126903566,-0.011537865720555604,0.011108446764197958,0.022207698960212068,0.015606435863814971,-0.01204055925944249,-0.0013640307543503526,-0.029418556722101096,0.002072737462546168,-0.0039741063867224,-0.00041934994428127965,-0.005364878075956389,-0.020662163971620687,-0.0038640745385296014,-0.002657342293997817,-0.0011109147032247917,0.043230620358858884,-0.0009158240195330896,-0.03750079209534655,-0.0019533806440287494,-0.022239118356559395,-0.0035757852909025934,-0.004931421405372263,-0.01440831981220411
