Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
USA300HOU_RS14890,-0.022527542166752502,0.0173434661118153,0.0016986819609865651,0.007284038582933292,0.0277367862035312,-0.006276986375333674,-0.021691164048554805,0.007904190589628156,0.009283527920486399,-0.011771928178901738,0.004873298319567383,-0.005161025835039639,-0.006389870835144213,-0.0011060144729976478,0.038627678642894014,0.0022928406342617694,0.009737553675336966,-0.0021029973115339723,-0.005619773309567928,0.0054773831723779745,0.011855563694684669,-0.0072163028401074835,-8.69534513135522e-05,-0.005097235902659071,0.008617970281135196,0.008142166349615702,0.007395399544508343,-0.014751349779598008,-0.02348204451788616,-0.02080857240500386,0.0004768958673663709,0.010007675604853059,0.005585768784265219,0.01351934117509106,-0.00046620614915310376,-0.007514808445280765,0.017698771041068987,-0.00016081043636944435,-0.010042203492456126,0.0017713776390538701,-0.0058931382180972165,-0.022024444308868248,-0.0033731950425630658,-0.0006427059217013058,0.024760518159229115,-0.016220766514695825,-0.0037938513590865808,-0.00019247304930695655,-0.007271019942295604,0.005506144843985327,-0.010523792235094049,-0.0005797598331268899,-0.015316903221759458,-0.008624056549058505,-0.0062774996905519105,-0.015514061158259871,0.005762614196411965,-0.0106830273505,-0.005087973147168145,0.00840916323521505,-0.011220920398986587,-0.006680044201131019,0.020421419621474653,0.0010550962559730127,-0.01732690872667707,-0.009110214580574505
USA300HOU_RS14895,-0.00289774639983693,0.039039688892294304,0.002480464470273739,-0.02380052422062302,-0.010717796597941823,-0.006789636396050317,0.01649260810870557,0.011314546767837538,0.015460492510416448,-0.01862540678355039,-0.016742266991748352,-0.010090566856947137,0.008556143931095134,0.03511293417399693,-0.0016975444568675154,-0.022480393427021718,-0.02029785212973463,0.0173907531677267,-0.006850312271022919,-0.0003097508683331987,0.018157459001322276,0.02081229132319045,0.0065358130001540475,-0.006553259255083445,0.008451538052325156,-0.020835297011954305,0.014822425903377744,-0.007186581525887031,0.02552348335569552,-0.007834361765428921,0.015185690761753426,-0.015140161524491191,-0.0035883264094582878,0.012967952321540917,-0.004086545221221516,-0.008584292367291933,0.0052482808241732515,0.0005639423758222043,0.012273197845914937,0.0060272584769041505,-0.0044175779323110086,-0.013759250175507144,0.002822078759639254,0.02870231410368396,0.09780433868289912,-0.0026539318336538326,0.013005113121045003,0.0017720375666486123,-0.011691820818504166,0.01848352605144318,0.004714678186036057,-0.03622057092417085,0.03948311771605483,-0.051658645223607615,0.039832785072172305,-0.008195816726893049,-0.014064200024325034,0.032004586431144816,-0.014996789888429438,0.09119270066708737,0.04308971774683928,-0.016327446592903992,-0.004763660838756587,0.010030973527441686,-0.015319077887602776,0.004419035644807331
USA300HOU_RS14900,0.003869471300352336,-0.008101178295390808,0.05512492653235286,0.00574850698773306,0.021252082802717134,-0.002901878918365224,-0.03876388829330366,-0.02028974232120685,0.024705382855168476,-0.0039016255221222367,0.010847642820237865,-0.007169005335157594,0.008421388364598425,0.015734027189096576,0.056171340424661965,-0.017463954042609784,0.03197306254191649,0.018348726001681064,-0.03873094665551833,0.04801301543173379,0.008953422079016159,0.022660631369536485,0.00019405182822033733,0.0017331488874786612,-0.017173780705917463,-0.0005924949139832901,0.00913757654029921,0.02492995569648499,-0.005565335959634026,-0.018956939246638417,-0.02886482138971103,0.01015537956254484,0.0020567538920840556,0.00653552872503031,-0.003571501300683813,0.0063837470702669255,0.01626917567698005,-0.007776282318192574,0.002023039886660637,0.00267412015034922,-0.002303594824480245,-0.014995655537147322,-0.002730474001791179,0.029886770084391744,-0.010231376467963408,-0.0037459048089734893,-0.011619697360980093,-0.00029994738473027667,-0.0021887073143153166,-0.02602377151101821,0.002337893622771693,-0.007811284187274305,-0.002725556353839041,-0.014177817341668232,0.007649156187577314,0.005624551507737488,0.01002156381384361,-0.006857559733749453,0.007643679957677264,0.002661670486253415,-0.0005324869067977715,-0.007942479235145888,0.003686718154670169,0.00037637790869560824,-0.003719043167398541,0.01631914930694881
USA300HOU_RS00005,0.0035020704763117955,-0.002588525816875904,0.0074177532677672554,-0.018778061091501062,0.016789357833464955,-0.004423241038790387,0.0010146509274361502,-0.00019262582567698686,-0.004259132917420595,-0.006158834308005517,0.0004909891975571654,-0.004786682834843599,-0.015886204455085616,-0.006238687979543805,0.001499622203521947,0.0007582707475081291,0.002733331404662612,-0.004514642794471596,-0.009718229949897328,-0.0013911699495394588,-0.006028068738926373,-0.015517051144073216,-0.008487127202833553,-0.011856418217027754,0.00015291354255356175,0.004663234151159926,0.0034148108937862224,-0.011645830042897013,-4.31472706545033e-05,0.004243284327652884,-0.0018498761215892648,-0.009230823025993505,0.010754320231161112,0.013588548482377732,-0.002320539408047283,0.006561681037278015,0.003096729145941356,-0.010881595916653638,0.00904514082244925,-0.0012442299631354725,0.008121036704798992,0.011496560049744047,-0.001854912394024912,-0.002640313496406099,-0.003949646321858801,0.0013734372639376594,-0.0018782234534588068,0.0019479372013727935,-0.003022364560756556,-0.002462769808491815,-0.007115869034478314,0.015894029639223657,-0.014977407340570776,0.001485956356893193,-0.0009089234928390606,-0.012720432526127675,-0.0016167419028636856,0.004315994647692491,-0.0019379726735740267,0.00018021804369382344,-0.005803319256936434,0.013301439861290927,-0.00468151314924521,0.003913203474257394,0.017261437293624074,-0.005560231038606235
USA300HOU_RS00010,0.002939657124444287,-0.00834879580221462,0.007659807495331368,-0.0029329026563320875,0.02288961378615547,-0.012396207135894042,0.0049426036314839,-0.0011492000453529098,-0.0007756338489048493,-0.006689865140191348,0.0023138818540232456,-0.00621964682007476,-8.010669273031726e-05,-0.0006335357566853228,-0.0008687666855478843,-0.002529803736511368,0.005693789264665501,-0.0016515814373506737,-0.005035611997077747,0.002935758233157934,0.00289582357664729,-0.012585833649415084,-0.004763696931194748,-0.00692580744035813,0.006773177670477813,0.008991019696566583,0.008143203801689007,-0.010025144154589322,0.020054538973757752,0.0018017798237486636,-0.003708144241283704,-0.003582924662400362,0.008038185047403092,-0.0027059348635610934,-0.0014877849763961118,0.003689356784183435,0.0063992512209537855,-0.008088204049185836,0.004006398641768134,0.0005864539616621034,0.0074390731241692175,0.013414279508550063,-0.007056580567664167,0.008771603716334148,0.006141409269348921,0.00031887257802100887,-0.0023245171137582167,-0.002141149570578196,-0.0005023621504376543,-0.0040423950050457605,-0.004149615780155881,0.011599325449759083,-0.006804660562520013,-0.006150477397821096,-0.0004087057953202234,-0.009087769147631127,-0.0038438269166850914,-0.007849270807326843,-0.00467658024636093,0.005537177523991448,-0.007456866521355775,0.012263787087102318,-0.011828527288720499,0.0004091768707077105,0.006613059199022981,-0.0009880319490234311
USA300HOU_RS00015,0.011559026158301827,-0.010511143219698855,-0.0037549377517646226,0.04812279449506928,0.021428838656079946,-0.009609028825226762,0.006974744234332749,0.005387336384600713,-0.008120830831113866,0.0042085586386423094,-0.02197303699602294,0.0016750088401605758,-0.01115707063051381,0.018987085526146585,0.054899554361906695,-0.00883887590402047,-0.01272794447559493,0.0009548941752504163,-0.003436346473075149,-0.003064364339771039,0.0008308354689937163,-0.0005268578318750524,-0.02393542952745638,0.0038862050952712494,0.011870012128380295,0.021125642623266286,-0.012828686567049757,-0.010102059403587802,0.009985970254632702,0.013930554112644473,-0.0010286574857668535,-0.017607221689886873,-0.005039132599688725,0.00459629017827334,0.005335142863810243,-0.019288067819955183,0.0027695757077631123,-0.016261747685645752,0.0024989081692218832,0.0070209888812719865,0.0018791885338891702,0.018028894762317636,0.018435053561728004,-0.023199857488402538,-0.02071618298380877,-0.0050045426569453886,-0.006372226805818505,-0.002388612824118565,0.0016969677865346026,-0.01349713414910462,-0.007967432221526021,-0.009662792793282438,-0.0046519824758888715,0.009879595536297652,-0.02280680926456778,-0.005183403856158021,0.010170698321395237,-0.005470900564389703,-0.013038193969024052,-0.006698026720862081,0.003921811332536858,-0.005467431214393699,0.01403440527228189,0.002693520974764313,0.016553999628056506,-0.007102298977966979
USA300HOU_RS00020,0.007888662113426844,0.0040563983967587,-0.0004935736478957305,0.007754114762286348,0.005065021862387545,0.001196639899421622,0.004509112738796907,0.0026528006406960182,-0.009186254016487636,-0.005193580809356244,-0.0019762945276037254,-0.0027048598155823105,-0.005761696521105682,0.010671375850804563,0.05208267134787871,-0.009182830003832321,0.0008159945009015644,0.004462868468913608,-0.0027468468148333807,0.004823142761812689,-0.006700974891441675,0.006532090385483564,-0.013524289329129673,-0.00010531189107793302,-0.009178271124971233,0.00394785386288569,-0.0037824026787169115,-0.010621953228942247,-0.011401171227603125,0.000320507819547728,0.010137494659939439,-0.002048447281282328,-0.0014092153948558578,-0.010520877990540457,-0.006322252033533878,-0.011839322029689197,0.003980805893355869,-0.00933140294011417,0.0004407208092814157,-0.002260588804335622,-0.0004911853343422786,0.0014505834989459367,0.006975578147217897,-0.006549625712792457,-0.01039829687483955,0.0075565997661352505,0.0014810473554367173,0.0003206591319213737,-0.0024162758246618556,-0.007516798688697961,-0.013130309180311944,0.005915640687687462,-0.012316073059659711,0.007470124908985819,-0.007015355387086133,-0.005668068670791527,-0.002111458607059506,-0.010383678061569424,-0.011788045603474646,-0.010941562592658266,0.00023916988013898932,-0.010103160747637348,-0.005095268193443095,0.006280101950601298,0.005938742182447737,-0.00041822708633079616
USA300HOU_RS00025,0.002944759400589704,0.0006137710971487232,0.00026396959289226975,-0.012821693204483597,0.0063683600314429385,0.00027063864689490285,0.005726857380031223,-0.0038937918956054233,0.002906692760538447,-0.0061308611306968965,-0.0005931260832085627,-0.0033569701368103945,-0.010356802723011482,0.00930725719348901,0.04601931946788198,-0.00556341039043456,-0.004164016163413427,-0.0033527919730999994,0.007270971969228561,0.002573385420614848,-0.0063953807443658224,0.009516439495890577,-0.0003398349075251595,-0.0021072473995434305,-0.013009746733470225,0.0055487508763212914,-0.00030019207426959884,-0.004001310105091787,-0.010215064647804634,0.008004789612564291,0.004606768557253289,-0.002677042488219078,-0.0028759337728565264,-0.01255467428943148,-0.0076040433123869735,-0.0002383572107126733,0.004619783708791249,-0.006645490649591849,-0.0022669786927424127,-0.0020849114611367382,0.00039828985838924886,0.0025381276658296764,0.0020485402985129754,0.002264842766492363,-0.005348979202344396,0.005162220312216503,0.030440445442252786,0.003092381541618511,-0.0017989656447457384,-0.0007492948584002769,-0.013945581513323837,-0.0008152748268857198,-0.00458937224918767,0.0032549817635617612,-0.003491335794942025,-0.0028620430227879762,-0.003387214036861188,-0.00920205183096251,-0.00797565974922304,0.00014517829456163432,-0.0031771794457413623,0.0007287337364538107,-0.00957752488785657,0.006165718202572444,0.004456625091120701,-0.0004014982727757109
USA300HOU_RS00030,-0.0007421750711508587,-0.002317603307327889,0.0017849176605754368,-7.68134412085449e-05,0.00797198357307071,-0.003604962231213939,0.0057887710266384725,-0.005223913156429676,0.002300889538785842,-0.007102146343597451,0.004158174055794641,-0.002342620782495909,-0.00729560374879073,0.003922140488987238,0.04137412645071979,-0.007431973486645478,0.00509529041772173,-0.002209860462310419,0.0023751488738733366,-0.005018409917423968,-0.005101538061536133,0.01026520388510205,-0.005060676587361139,0.002286029953073301,-0.003691033730456123,0.004032948141156449,-0.005202277197867508,-0.010354066830757305,0.004750410398353553,0.012432009109454079,0.003820353003011885,-0.0023579797705963385,-0.00011442517389323455,-0.01624532620948643,-0.0026890812083541415,-0.0004299601920299352,0.003696053088410718,-0.004864144108264749,-0.0005555693696780433,0.008897514110041034,0.0013206653127924583,0.002669684422102067,0.0063297711223702915,-0.00039143683628033263,-0.00046201757803808626,-0.005378530820813677,0.016127738282454687,0.01255073427581147,0.0003016488816208545,-0.004064780570256295,-0.008837587389318781,-0.007310961000265387,-0.0029175253598284472,0.002235322663151319,-0.0021455049122417933,-0.004839572726052037,-0.005527510745903649,-0.0117285148927562,-0.011146051260576424,-0.003908345130850069,-0.0049710147672731115,-0.0030673801279494962,-0.01670104815671868,0.007749001949564838,0.009723875296596834,-0.0013366982081406257
USA300HOU_RS00035,0.005169344696223422,-0.010980219895646105,-0.011529735814673406,-0.01351905267504694,0.0038136089648721995,0.005807357431111782,-0.0075129911181434595,0.00902502250570014,0.03187104414974724,-0.017157202266578984,0.008984835702617796,0.0026123506881679977,0.01690363874075472,0.013546730908369442,0.01276518511950186,0.025001156104251812,0.012993200383803161,-0.008768390429997351,-0.021930389008398443,-0.003635530742129964,-0.00849337647864487,-0.017506781908854314,0.011656977502705152,0.002451370515792642,-0.007210185201389843,0.0009432699286855006,-0.002296340724396708,-0.00339946362041988,-0.007064225495790322,-0.01905657686528783,0.024672358405456722,-0.0008747480141437218,0.002076533994322122,-0.004974637815547545,-0.005628553338363222,-0.027891970603006855,-0.0013775646561416425,-0.006205063947224393,-0.024476964212491105,-0.017151713351826293,-0.020417794107449306,0.029268537832146207,-0.004737972585313302,0.0024928934551918746,0.0014230342855591097,-0.015680543183293136,0.0017066080143468294,-0.0032546636032328518,-0.0038785764928643595,-0.02633407330619065,-0.006875278756399836,-0.009696854400672214,-0.013174340388970559,-0.009441596104311539,0.007532513461727818,-0.004315587913991223,0.0016973245919300708,0.00556083111714083,-0.012576868297103718,0.006961456572853038,-0.011164776093676429,0.0035532659808070115,-0.024732736938417644,0.008960055095149825,0.01922239312764824,-0.005255473941230003
