Sample	Reads passing filters
SRX8164264	11650754.0
SRX8164265	9868299.0
SRX8164266	7715430.0
SRX8164267	11130180.0
SRX8164268	10211674.0
SRX8164269	11630694.0
SRX8164270	8108290.0
SRX8164271	9047923.0
SRX8164272	7027730.0
SRX8164273	7622173.0
SRX8164274	12134532.0
SRX8164275	9272933.0
SRX8164276	7920372.0
SRX8164277	9670192.0
SRX8164278	8490395.0
SRX8164279	9323926.0
SRX8164280	9012581.0
SRX8164281	8810690.0
SRX8164282	8031217.0
SRX8164283	9171707.0
SRX8164284	9240543.0
SRX8164285	10558286.0
SRX8164286	8763651.0
SRX8164287	6124418.0
SRX8164288	9118861.0
SRX8164289	10011193.0
SRX8164290	10050509.0
SRX8164291	9569867.0
SRX8164292	7401735.0
SRX8164293	10647315.0
SRX8164294	10409080.0
SRX8164295	9357511.0
SRX8164296	9081809.0
SRX8164297	8146179.0
SRX8164298	9489684.0
SRX8164299	8982949.0
SRX8164300	8315223.0
SRX8164301	10226749.0
SRX8164302	6879667.0
SRX8164303	8906445.0
SRX8164304	10744294.0
SRX8164305	8668111.0
SRX8164306	8532672.0
SRX8164307	6400919.0
SRX8387559	5631615.0
SRX8387560	6060198.0
SRX8387561	9445739.0
SRX8387562	9433361.0
SRX8387563	8990695.0
SRX8387564	9481574.0
SRX8387565	9367857.0
SRX8387566	9952837.0
SRX8387567	11279484.0
SRX8387568	10832288.0
SRX8387571	5316590.0
SRX8387574	10336854.0
SRX8387575	8029732.0
SRX8387576	9083843.0
SRX8387577	7718659.0
SRX8387582	6859352.0
SRX8387589	6363781.0
SRX8387590	5490237.0
SRX8387591	6173485.0
SRX8387592	6891066.0
SRX8387593	11146719.0
SRX8387594	7861183.0
SRX8420202	7564491.0
SRX8420203	8672002.0
SRX8420204	9455035.0
SRX8420205	9241702.0
SRX8420206	8588261.0
SRX8420207	8997176.0
SRX8420208	9510080.0
SRX8420209	8316606.0
SRX9633794	30161688.0
SRX9633795	25438306.0
SRX9633796	27299197.0
SRX9633797	26172238.0
SRX9633798	35862383.0
SRX9633799	22901195.0
SRX9633800	22883604.0
SRX9633801	33656083.0
SRX9633802	43199260.0
SRX9682649	4786312.0
SRX9682654	11377019.0
SRX9682659	10994207.0
SRX9682664	9178255.0
SRX9682669	15192757.0
SRX9682674	16085275.0
SRX9699053	10062265.0
SRX9699054	8617561.0
SRX9699055	10029553.0
SRX9699056	9903462.0
SRX973265	14173366.0
SRX973266	11440615.0
SRX973267	10923245.0
SRX973268	10317883.0
SRX9960951	27507504.0
SRX9960952	24796435.0
SRX9960953	31276681.0
SRX9960954	12011914.0
SRX9960955	25788787.0
SRX9960956	13636135.0
SRX9960957	16079498.0
SRX9960958	17665145.0
SRX9960959	21522423.0
SRX9960960	10623688.0
SRX9960961	20112142.0
SRX9960962	15131562.0
SRX9960963	12882772.0
SRX9960964	20472746.0
SRX9960965	18141473.0
SRX9960966	25026862.0
Vir_1	4563670.0
Vir_10	4259475.0
Vir_11	3688287.0
Vir_12	4607486.0
Vir_13	4301541.0
Vir_14	4259261.0
Vir_15	5194335.0
Vir_16	4714170.0
Vir_17	4548416.0
Vir_18	3921622.0
Vir_19	3192730.0
Vir_2	4551891.0
Vir_20	3997249.0
Vir_3	4460334.0
Vir_4	3247960.0
Vir_5	3614030.0
Vir_6	3677948.0
Vir_7	3816486.0
Vir_8	4087362.0
Vir_9	3901339.0
