Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX9960953	31276681	13362171	31276681	2333502479	15248422	1964721453	15.803755484246906
SRX9960954	12011914	6018970	12011914	895424987	7989601	669995315	25.175718264828813
SRX9960955	25788787	8541369	25788787	1912903903	7161333	1868095822	2.342411499591153
SRX9960956	13636135	4878471	13636135	1016623147	4391413	951236822	6.431717120837894
SRX9960957	16079498	5866227	16079498	1200462492	5359138	1106058727	7.863949571862175
SRX9960958	17665145	6665202	17665145	1318707780	6355053	1193595822	9.487466434754788
SRX9960959	21522423	10468331	21522423	1604222232	7356092	1227439491	23.48694173937866
SRX9960960	10623688	5670296	10623688	790811917	4177045	550471519	30.391600434114345
SRX9960961	20112142	9950668	20112142	1498876395	7073685	1128980616	24.67820430249687
SRX9960962	15131562	7586548	15131562	1127665120	5000936	843375994	25.21042115765716
SRX9960963	12882772	6651620	12882772	959814697	4452965	703576129	26.696670597032963
SRX9960964	20472746	10417305	20472746	1525522641	6908351	1115877695	26.852760817202448
SRX9960965	18141473	9086959	18141473	1352373772	12001524	1021016908	24.501870034787988
SRX9960966	25026862	11459826	25026862	1866550941	13968421	1505766822	19.32891897430406
Vir_1	4563670	1997587	4563670	689114170	1377313	684989961	0.5984797845616787
Vir_10	4259475	1518462	4259475	643180725	589988	640630993	0.3964254370340467
Vir_11	3688287	1304216	3688287	556931337	316490	554640345	0.4113598657135718
Vir_12	4607486	1628796	4607486	695730386	409910	692637160	0.44460125103692105
Vir_13	4301541	1518199	4301541	649532691	357925	646460155	0.47303793058816185
Vir_14	4259261	1520205	4259261	643148411	354195	639991868	0.4907954285531151
Vir_15	5194335	1871383	5194335	784344585	467326	780802347	0.4516175757113183
Vir_16	4714170	2093343	4714170	711839670	1349360	707002045	0.679594746384393
Vir_17	4548416	2027043	4548416	686810816	958886	682409242	0.640871386626503
Vir_18	3921622	1746237	3921622	592164922	815797	588539463	0.6122380548572919
Vir_19	3192730	1400003	3192730	482102230	1044829	479123193	0.6179264095086223
Vir_2	4551891	1980322	4551891	687335541	1586614	683070499	0.6205181815267138
Vir_20	3997249	1450001	3997249	603584599	588689	600981202	0.4313226355200624
Vir_3	4460334	1572912	4460334	673510434	609886	670765802	0.40751142988231714
Vir_4	3247960	1136116	3247960	490441960	202716	488638306	0.3677609476970527
Vir_5	3614030	1597043	3614030	545718530	896144	542004629	0.6805524818810899
Vir_6	3677948	1320861	3677948	555370148	329484	552870777	0.45003697245895186
Vir_7	3816486	1708560	3816486	576289386	1075287	572225940	0.7051051257779021
Vir_8	4087362	1410737	4087362	617191662	372067	614220707	0.4813666779574868
Vir_9	3901339	1703577	3901339	589102189	649377	585823140	0.5566180301529995
