Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
Muc_16	2549170	932102	2549170	101966800	199400	97454878	4.424893200531939
Muc_17	3228279	1132786	3228279	129131160	89508	126977870	1.6675216113601086
Muc_18	4153267	1447032	4153267	166130680	106025	163577286	1.5369792021557969
Muc_19	3154388	1074964	3154388	126175520	78553	124387881	1.416787503629864
Muc_2	2876582	957577	2876582	115063280	71916	113576893	1.2917996080070029
Muc_20	2965448	1040808	2965448	118617920	74884	116730687	1.5910184565704744
Muc_21	3762292	1282767	3762292	150491680	94497	148089688	1.5960962094382893
Muc_22	2899575	1011893	2899575	115983000	77357	114109003	1.615751446332652
Muc_23	2869102	992043	2869102	114764080	74760	112949507	1.5811332256573658
Muc_24	3102362	1079535	3102362	124094480	87588	121856705	1.803283272551688
Muc_3	2638150	882333	2638150	105526000	64545	104123391	1.3291596383829576
Muc_4	3043225	1017987	3043225	121729000	76612	119974766	1.4410978484995358
Muc_5	2895117	969551	2895117	115804680	66501	114295411	1.30328843359353
Muc_6	2931642	975764	2931642	117265680	66896	115820321	1.232550734366611
Muc_7	2594033	859185	2594033	103761320	58032	102470391	1.244133170241088
Muc_8	2975457	996164	2975457	119018280	65524	117568941	1.217744870787916
Muc_9	2631463	877480	2631463	105258520	66781	103822897	1.3639019435196316
SG_1	11810431	3957574	11810431	602331981	762331	596737543	0.9287964405795016
SG_2	10703548	3644255	10703548	545880948	678767	540746834	0.9405189938960831
SG_3	9197377	3080036	9197377	469066227	566437	464765963	0.9167711833578673
SG_4	9698832	2847507	9698832	494640432	875030	487535447	1.436393901580613
SG_5	12514013	4175729	12514013	638214663	793973	632320597	0.923524065131045
SG_6	10756174	3534590	10756174	548564874	704000	543553018	0.9136304997902581
SG_7	8874951	3883642	8874951	452622501	1012374	446548785	1.341894401312585
SG_8	10312112	3481329	10312112	525917712	643837	521078123	0.9202179142428274
SRX1357231	62502911	54077113	62502911	3125145550	53588238	2736639786	12.431605433545327
SRX1357232	53889984	44474327	53889984	2694499200	41380129	2181713238	19.030844841223185
SRX1357235	42750886	35675970	42750886	2137544300	47051821	1913248906	10.493134294339537
SRX1357236	53812228	49151796	53812228	2690611400	87115584	2229674926	17.131291200208253
SRX1357239	26464778	22281637	26464778	1323238900	70115536	1144924034	13.475636636740349
SRX1357240	40364933	31378138	40364933	2018246650	93101668	1802769402	10.676457607398977
SRX1357243	41841175	31507282	41841175	2092058750	61615691	1919798235	8.234019001617426
SRX1357244	47690073	44350566	47690073	2384503650	70503115	2035414212	14.639920471499382
SRX1549383	4638216	1414465	4638216	561534389	18809587	540597113	3.7285830414208165
SRX1549384	3731894	1417048	3731894	452079222	21253621	428900769	5.127077704978
SRX1983453	12932870	11383230	12932870	659576370	2019037	301141364	54.343215176128886
SRX2629499	47453785	19659251	47453785	4745378500	140465009	4381464708	7.668804332467895
SRX2629500	47354054	19998086	47354054	4735405400	30670213	4561351911	3.6755773645061094
SRX2722002	3216982	1072394	3216982	324915182	187031	322869965	0.6294618144374675
SRX2722003	3548695	1152943	3548695	358418195	209325	356334901	0.581246719352515
SRX2722004	3704488	1221739	3704488	374153288	207078	371724543	0.6491310053648386
SRX2722005	3905929	1764816	3905929	394498829	2316187	389348951	1.3054228863122936
SRX2722006	4265360	1399044	4265360	430801360	244835	428346163	0.5699139389903505
SRX2722007	3638111	1651511	3638111	367449211	2277841	362459414	1.3579555624627535
SRX2722008	3306063	1118717	3306063	333912363	199274	331975508	0.5800489034303891
SRX2722009	3706206	1701533	3706206	374326806	2732001	368941396	1.4386920502829283
SRX2722010	3851649	1298036	3851649	389016549	233978	386871004	0.5515305211347191
SRX2722011	3909726	1351816	3909726	394882326	314730	392606699	0.5762797801185967
SRX2722012	4310318	1929647	4310318	435342118	3668516	428860388	1.4888819004643148
SRX2722013	4528482	1519432	4528482	457376682	268066	454881693	0.5454998250216875
SRX2722014	3739065	1229933	3739065	377645565	223031	375608618	0.539380622674597
SRX2722015	3424504	1548115	3424504	345874904	2546278	341028781	1.4011201575931627
SRX2722016	3643857	1660430	3643857	368029557	2864629	362654492	1.4604981849324672
SRX2722017	3877312	1738111	3877312	391608512	3120138	385854820	1.4692458983118324
SRX2722018	4492464	1477431	4492464	453738864	281028	451317576	0.5336302865165193
SRX3489448	5076585	913977	5076585	382577408	447987	380958451	0.4231710932601645
SRX3489449	10664104	1171477	10664104	804777936	423400	802727848	0.25473958818871
SRX3489450	4067887	1412329	4067887	305655059	340921	302016575	1.1903889344753165
SRX3489451	3248424	592885	3248424	244263414	284846	243183323	0.44218288048655535
SRX3489452	4390443	486355	4390443	330709597	133835	329999447	0.21473522584226667
SRX3489453	4737704	514099	4737704	356591944	179983	355691180	0.2526035753628803
SRX4065827	6353435	2099582	6353435	635343500	191809	632276508	0.4827297359617278
SRX4065829	5481544	1818694	5481544	548154400	181674	545290672	0.5224309063285818
SRX4065834	5070389	1681318	5070389	507038900	179241	504484408	0.503805921005272
SRX4065836	6059258	2011916	6059258	605925800	191191	602872999	0.5038242306236176
SRX4065848	5846449	2556445	5846449	584644900	1371190	579524609	0.8757950338744082
SRX4913542	4692335	1501262	4692335	830760214	10403817	818289788	1.5010860883619543
SRX4913543	4096899	1408569	4096899	610801976	8164244	600720625	1.6505105412429117
SRX4913544	21998	7002	21998	3081631	47495	3024399	1.8571983472388487
SRX5014557	3338375	1482695	3338375	333837500	2953095	328674195	1.546652188564796
SRX5014562	7173140	2393685	7173140	724487140	313989	720920383	0.4923147428124121
SRX5014564	6875389	2347639	6875389	694414289	348996	690978212	0.494816574835775
SRX5014568	7759195	2610296	7759195	783678695	317445	779958538	0.47470436847846176
SRX5014569	2751847	915595	2751847	275184700	145768	273664335	0.5524889283452169
SRX5014570	7504913	2507775	7504913	757996213	329714	754085761	0.5158933425964227
SRX5014574	3535792	1170643	3535792	353579200	188602	351768165	0.5122006611248625
SRX5014577	3012573	1002147	3012573	301257300	176189	299633486	0.5390123326472089
SRX5014579	3605281	1593854	3605281	360528100	2898216	355268086	1.4589747650737903
SRX5014581	7970480	2682293	7970480	805018480	329294	801142296	0.4815024867503663
SRX5014583	8321779	3684598	8321779	840499679	2714382	832684240	0.9298562742223248
SRX5014587	7267577	3169122	7267577	734025277	2380464	726987231	0.958828833356375
SRX5014588	7048010	2399259	7048010	711849010	283887	708138740	0.5212158685168362
SRX502154	4556926	1014124	4556926	674425048	128551625	543994045	19.33958464128693
SRX502155	3859002	923113	3859002	571132296	98569852	470114250	17.687328611513152
SRX502158	2699959	760579	2699959	399593932	51865798	346156959	13.372818934597836
SRX5233212	2635696	527554	2635696	128535063	4700209	122866416	4.410195060938352
SRX5233213	3501019	729770	3501019	174250751	2260795	170811176	1.9739226260207052
SRX5233214	2022431	459762	2022431	101717657	240415	100900717	0.8031447283533085
SRX5233215	2650538	577949	2650538	133214132	386295	132089419	0.8442895533035489
SRX5233216	1713784	379908	1713784	86235979	188462	85574169	0.7674406989685825
SRX5233217	3485168	711642	3485168	174659102	943770	172743655	1.0966774580118934
SRX5299657	23769670	12758930	23769670	2994978420	23503857	2846363648	4.962131647012001
SRX5299658	24661059	12660645	24661059	3107293434	17776329	2965899575	4.550386437691034
SRX5299659	24127778	12310174	24127778	3040100028	19387333	2901391726	4.5626229637994005
SRX5299660	23792883	11868036	23792883	2997903258	19238098	2863579307	4.480596585014952
