Module	Section	Sample Name	Source
featureCounts	all_sections	ERX4294052	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/ERX4294052_all.txt.summary
featureCounts	all_sections	SRX5505139	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX5505139_all.txt.summary
featureCounts	all_sections	Muc_10	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Muc_10_all.txt.summary
featureCounts	all_sections	SRX9960959	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX9960959_all.txt.summary
featureCounts	all_sections	CM_4	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/CM_4_all.txt.summary
featureCounts	all_sections	SRX6877998	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX6877998_all.txt.summary
featureCounts	all_sections	SRX5299664	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX5299664_all.txt.summary
featureCounts	all_sections	SRX6878010	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX6878010_all.txt.summary
featureCounts	all_sections	SRX5797725	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX5797725_all.txt.summary
featureCounts	all_sections	SRX8164293	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8164293_all.txt.summary
featureCounts	all_sections	SRX5233215	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX5233215_all.txt.summary
featureCounts	all_sections	SRX5806783	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX5806783_all.txt.summary
featureCounts	all_sections	SRX9960955	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX9960955_all.txt.summary
featureCounts	all_sections	SG_5	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SG_5_all.txt.summary
featureCounts	all_sections	SRX2722003	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX2722003_all.txt.summary
