Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
CM_1	22.0	76.0	142.0	155.5	449.0	755.5	1776.0	3105.0	3436.0	6560.5	9753.0	12457.0	17351.0	20027.0	34689.0	49337.0	66829.0	101197.0	120512.0	178692.0	243406.5	295482.0	386666.5	440450.5	570467.5	709161.5	815687.0	971861.0	1049380.0	1180129.5	1307111.5	1370552.5	1445395.0	1468014.5	1476979.0	1486470.5	1468237.5	1406194.5	1350213.5	1277462.5	1165096.0	1023268.0	882959.5	819525.0	728033.0	603000.5	487990.5	380743.5	344182.0	304626.5	248091.5	197345.0	163584.5	150395.5	119519.0	97442.0	96565.0	98974.0	91284.0	67193.0	49437.5	42157.5	32496.0	25938.5	15614.5	8366.0	5215.5	2660.5	2001.5	1069.0	545.0	425.5	314.0	253.0	168.5	127.0	99.0	75.0	82.5	84.5	80.0	74.0	69.0	66.5	62.0	57.5	63.0	73.0	67.0	60.0	62.0	69.5	74.5	84.5	111.0	134.5	176.5	211.0	738.0	2480.0	3695.0
CM_10	14.0	49.0	91.0	98.0	299.5	510.5	1278.0	2269.5	2522.0	4293.0	6100.5	7781.5	10984.0	12827.5	21692.5	30552.0	40695.5	62178.0	75105.0	108616.5	146702.0	190198.0	266015.0	308929.0	413138.0	524399.0	616900.0	751953.0	821265.5	961642.5	1100457.0	1196010.0	1319410.0	1366685.0	1408802.0	1469446.5	1514961.0	1516850.0	1491191.0	1452500.0	1378348.0	1272463.0	1157034.0	1091902.5	980692.0	829052.5	692553.0	562907.0	515728.5	465323.0	391020.5	318504.0	269858.5	251069.0	204444.0	169502.5	160233.5	154789.5	140436.0	108476.0	86602.5	73433.0	57542.0	47789.0	30448.0	17372.0	11139.0	6324.0	4913.0	2325.5	723.5	490.0	318.0	254.0	210.5	190.0	174.0	158.5	145.5	118.0	102.0	106.0	111.0	115.5	118.0	115.5	114.0	115.5	110.0	106.5	113.0	115.0	111.0	126.5	167.5	201.0	258.0	304.0	1191.5	4070.0	6061.0
CM_11	55.0	162.0	282.5	297.0	632.5	998.5	1865.0	3021.0	3363.5	4778.0	6257.0	7587.5	10497.0	12375.5	20146.0	28060.0	37430.0	56395.0	67536.0	97825.0	132160.5	167635.5	229577.0	265476.5	356456.5	453861.5	534876.5	658153.0	724219.5	862713.5	1000638.0	1098974.5	1227214.0	1277128.5	1321995.0	1386492.0	1434311.0	1440262.0	1418565.0	1387628.5	1321118.5	1213639.5	1103107.0	1046374.5	947849.5	810617.0	674937.5	544968.5	500687.0	452904.5	376300.5	294409.0	241361.0	224095.0	183684.0	156475.0	154639.0	155044.5	140753.5	100536.5	71709.5	62309.0	49845.0	40882.5	26512.0	15504.5	9807.5	5159.5	3991.0	1945.5	570.5	342.0	205.0	181.5	162.0	151.0	139.5	125.0	113.5	99.5	97.5	93.0	82.0	68.5	60.0	61.5	67.0	75.0	71.0	67.5	69.0	86.0	103.0	110.5	134.0	154.0	212.5	268.0	1131.5	3699.5	5404.0
CM_12	17.0	41.0	69.5	76.0	248.0	422.5	1062.5	1881.0	2070.5	3563.5	5115.0	6623.5	9533.5	11213.5	19573.0	28065.0	38749.0	60534.5	73389.5	107594.0	146258.5	186415.5	256814.0	297801.5	401013.0	511422.0	598332.0	726753.0	793418.0	929736.5	1065237.0	1153026.0	1265278.0	1308384.0	1343696.0	1392712.5	1421021.0	1405242.5	1373283.0	1332441.5	1259413.0	1151117.5	1033527.5	972352.0	875628.0	742637.0	616992.5	497702.5	456019.0	409573.5	341169.0	276019.5	232834.0	216277.5	175755.0	146632.0	141605.5	139384.5	126688.5	95963.0	74250.0	62399.5	48645.5	40270.5	25561.0	14415.0	9196.5	5189.5	4069.0	2183.0	992.5	712.5	494.5	437.0	371.0	321.5	274.5	233.5	221.0	200.5	186.5	175.0	162.0	166.5	177.5	178.5	177.0	181.5	184.0	175.0	168.0	179.5	192.0	209.5	257.0	299.0	373.5	438.0	1448.0	4635.5	6813.0
CM_13	26.0	83.0	152.0	165.0	397.5	651.0	1351.5	2266.5	2518.5	4391.5	6341.0	8489.0	13234.5	16167.0	28227.0	40572.5	55816.0	84320.0	99669.0	145951.0	197869.5	243634.0	323279.0	369627.0	485318.0	608382.5	698197.5	836344.5	910097.5	1042936.5	1174476.0	1249598.0	1340504.0	1370353.0	1389809.0	1413165.5	1407559.0	1364761.0	1324286.0	1262512.5	1161478.0	1034547.0	905748.5	843037.5	747814.5	615406.0	485808.5	366345.0	327439.0	281919.5	214435.5	157848.5	123253.5	111902.0	82704.0	60723.5	56580.0	55942.0	50853.0	34211.0	21268.0	19568.0	16942.5	14058.0	9646.0	5924.0	3811.0	1965.0	1516.0	816.0	314.5	239.0	186.0	179.0	164.5	153.5	142.0	126.5	113.0	103.0	97.5	92.5	96.0	95.0	91.5	93.5	101.5	104.0	95.5	101.5	114.0	115.0	115.0	131.0	191.0	245.5	319.0	383.0	1493.0	4625.0	6647.0
CM_14	26.0	73.0	127.5	135.0	282.0	442.0	1719.5	3089.5	3205.0	5232.0	7286.5	8596.5	12355.5	14894.0	26875.0	39395.5	53205.0	78183.5	90453.0	135804.5	182422.0	236171.0	313501.5	340130.5	441071.5	548808.0	645130.5	776558.5	823323.5	954456.5	1086854.0	1154672.0	1244735.5	1276083.0	1330136.5	1397388.0	1420486.5	1432862.5	1433838.0	1376264.5	1274381.0	1125852.5	978029.5	921605.5	828843.0	705283.0	579603.5	460610.0	429409.5	369736.5	285590.5	210935.0	160768.0	144640.5	101237.5	67848.0	52285.0	43216.0	39378.5	27837.0	18971.5	13453.0	8850.0	7278.0	5092.5	3303.0	2068.0	1356.5	1104.5	601.5	263.5	117.0	28.5	25.5	23.5	23.5	20.0	15.0	13.0	9.5	8.5	7.5	7.5	8.5	8.5	9.0	64.0	119.0	115.0	84.0	57.0	47.5	38.0	41.5	51.0	58.5	85.5	111.0	104.5	65.0	32.0
CM_15	11.0	14.0	20.0	23.0	88.5	157.0	836.0	1567.5	1625.5	3552.0	5487.5	5917.0	8174.5	10035.0	18022.0	26404.5	37072.5	56303.5	65621.0	100311.5	135873.5	183827.5	252188.5	275084.5	354328.5	439604.5	526369.0	642000.5	681611.0	823473.5	966939.0	1040082.0	1145634.5	1188630.0	1260140.5	1347351.0	1405295.5	1458794.0	1471052.0	1428385.5	1349644.0	1213778.5	1066987.0	1008485.5	912715.0	784692.0	649810.5	521855.0	489570.0	425067.5	334500.5	251415.5	194393.0	174781.5	121387.5	80916.5	62272.5	50885.5	46380.5	33284.5	23249.0	16353.5	10670.5	8783.5	6344.5	4290.0	2614.5	1568.0	1265.0	696.5	320.5	177.5	72.0	61.5	54.0	48.0	29.5	12.5	10.5	8.5	8.0	8.5	8.5	7.0	6.0	6.5	48.5	90.0	88.0	69.5	53.5	39.0	24.5	28.0	37.0	45.5	71.0	94.0	87.5	56.0	31.0
CM_16	13.0	52.5	100.0	110.5	322.5	540.5	1418.5	2572.5	2868.5	4874.0	6923.5	8618.5	11821.5	13669.0	23738.5	33835.5	46485.0	72218.5	87339.0	128166.0	174673.5	223638.0	310348.0	360990.5	479206.5	605519.5	702087.5	844446.0	918204.0	1064559.0	1210376.5	1298276.0	1407317.5	1446985.5	1476648.0	1521165.5	1544044.5	1515652.5	1473821.5	1412266.5	1310676.5	1183655.5	1052307.0	985079.5	878236.0	728949.5	583245.5	448983.0	405163.5	353999.0	277294.5	210250.0	168774.0	154446.5	115643.0	85807.0	78982.5	76236.5	68713.5	48562.5	33695.0	29410.5	24182.0	20272.5	13495.5	7905.0	5092.0	2880.5	2288.0	1199.0	440.0	307.0	238.5	234.0	217.0	192.5	156.0	131.5	130.5	129.5	132.5	126.0	122.0	124.5	116.0	106.0	118.5	131.0	129.5	140.0	152.0	157.0	157.5	172.5	219.5	257.5	317.0	368.0	1308.0	4316.5	6385.0
CM_2	8.0	31.0	57.0	61.0	283.5	505.5	1291.0	2327.0	2584.0	5110.0	7701.0	10003.5	14287.0	16660.5	29502.5	42298.5	57300.0	86840.5	103500.0	153690.0	209305.5	252297.5	328040.5	373080.5	480860.0	596156.0	684535.5	811680.0	873660.5	979222.5	1081829.5	1132654.0	1192340.5	1210479.0	1216485.5	1220576.5	1201059.5	1148028.0	1102473.5	1040167.5	943936.0	824521.0	707878.5	656004.0	580214.0	475771.0	377933.0	288394.5	258973.5	225043.0	176387.5	135402.5	109145.5	99607.5	75623.0	57730.5	56865.5	58591.5	53576.0	37761.5	25927.5	22930.5	18443.0	14754.0	8876.5	4501.5	2737.0	1398.5	1127.0	591.0	236.5	193.5	158.5	132.5	116.0	117.0	116.0	113.0	106.5	102.5	101.5	99.0	93.5	85.0	79.5	75.0	83.0	92.5	91.5	84.5	79.0	84.5	91.0	107.5	132.0	146.0	184.0	217.0	604.0	1847.5	2704.0
CM_3	3.0	23.5	46.0	48.0	75.0	104.5	836.0	1624.5	1691.5	3860.0	6034.5	6594.5	8987.0	10865.5	20308.0	30141.0	40978.5	60313.5	69684.5	107245.5	145609.5	193733.0	261665.0	283807.0	359309.0	441565.0	517713.0	620369.0	656039.5	764754.0	875455.0	923584.5	990719.0	1016053.0	1062295.5	1123015.5	1152533.0	1181800.0	1196384.5	1158159.0	1074560.5	948402.5	829004.0	783466.5	716449.5	621948.0	521738.0	432159.5	411033.0	366438.5	305634.0	243097.5	196769.0	180888.0	139981.5	108059.5	89753.5	78449.0	74751.5	58599.5	44915.0	35794.0	27346.5	23858.5	18456.0	13322.5	6895.0	2931.5	2295.0	1045.0	296.5	146.5	42.5	37.0	33.5	32.0	22.5	12.5	12.5	10.0	5.5	5.5	7.5	8.0	14.0	20.5	294.5	567.5	572.0	502.0	427.5	248.5	69.0	68.5	42.5	18.0	28.5	38.0	38.0	58.5	79.0
CM_4	12.0	36.0	62.0	64.0	340.5	620.0	1608.0	2895.5	3207.0	5542.5	7919.5	10128.5	13488.0	14974.5	25433.5	35942.0	48815.5	75134.5	90552.5	129441.0	172997.0	216460.5	292743.5	336368.0	433760.0	538394.0	619115.5	735955.5	794631.0	902023.0	1008224.0	1072782.5	1153481.0	1182195.5	1201215.0	1228872.5	1235641.0	1202271.5	1164471.5	1113844.5	1031875.0	924247.5	809846.0	752211.0	666073.5	547804.0	437492.5	335801.0	302006.5	262334.5	204878.0	157412.5	127714.0	116383.5	86435.5	63332.5	57857.5	55799.0	50594.5	36803.0	26582.5	23118.0	18994.0	16039.0	10598.5	6260.0	3992.0	2201.0	1763.5	940.5	396.0	301.5	238.0	226.0	214.5	208.0	184.5	155.5	149.0	159.0	160.5	149.5	142.5	134.5	137.0	140.0	141.0	140.0	144.5	155.5	158.5	166.0	177.0	187.5	224.5	259.0	326.5	389.0	913.0	3091.5	4746.0
CM_5	40.0	140.0	260.5	281.5	565.5	863.5	1798.0	3088.5	3485.5	5350.0	7293.5	9396.5	13924.0	16759.0	27343.0	37886.0	51087.5	77901.0	93449.0	135895.0	183577.0	228307.0	306646.5	352335.5	465429.5	586694.5	678163.5	814818.0	885173.0	1015212.5	1144637.0	1223070.5	1319465.0	1352676.0	1377127.5	1408848.0	1417197.0	1386253.5	1348304.5	1297175.0	1209690.0	1088512.0	962834.5	901522.0	810290.5	685294.0	566962.5	452655.5	412383.5	369999.5	309147.5	253073.0	215468.5	200359.5	162410.5	133561.0	127393.0	124900.0	113841.5	87508.5	69148.0	57853.0	44561.5	36943.5	23243.5	12929.0	8066.5	4369.5	3360.0	1585.5	463.5	313.0	218.0	185.5	152.0	131.5	120.0	110.5	101.5	92.5	91.5	90.0	87.0	70.0	52.5	48.0	57.0	67.5	70.0	76.0	80.0	86.0	91.5	107.0	143.5	178.0	246.0	300.0	1141.0	3801.5	5621.0
