Sample	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_FragmentLength	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity
Muc_17	2215081.0	28064.0	308662.0	0.0	590630.0	64052.0	3318.0
Muc_18	2835427.0	77147.0	323541.0	0.0	815048.0	79062.0	4239.0
Muc_19	2014008.0	456108.0	127055.0	0.0	486353.0	56912.0	2928.0
Muc_2	2348384.0	28053.0	69434.0	0.0	351940.0	67763.0	3695.0
Muc_20	2123695.0	56999.0	130480.0	0.0	574040.0	61970.0	3219.0
Muc_21	2231074.0	704326.0	142166.0	0.0	599200.0	62238.0	3438.0
Muc_22	2066461.0	82805.0	142278.0	0.0	533161.0	56225.0	3189.0
Muc_23	1920419.0	252581.0	124905.0	0.0	504044.0	49745.0	3108.0
Muc_24	2042662.0	187493.0	193207.0	0.0	597531.0	55945.0	3072.0
Muc_3	2156093.0	41280.0	64056.0	0.0	305266.0	60470.0	3443.0
Muc_4	2492277.0	38454.0	101045.0	0.0	326862.0	68594.0	3885.0
Muc_5	2483753.0	37036.0	64084.0	0.0	231917.0	66733.0	4108.0
Muc_6	2373712.0	170771.0	60428.0	0.0	252658.0	64526.0	3961.0
Muc_7	2021337.0	227806.0	60880.0	0.0	221556.0	53809.0	3286.0
Muc_8	2557005.0	20493.0	61859.0	0.0	259119.0	67535.0	4280.0
Muc_9	2127491.0	164941.0	79702.0	0.0	193183.0	54370.0	3405.0
SG_1	9111594.0	324284.0	871086.0	155436.0	730335.0	382182.0	231290.0
SG_2	8582125.0	54089.0	749217.0	58907.0	703855.0	373894.0	177295.0
SG_3	6880693.0	263520.0	731475.0	155716.0	561032.0	371005.0	230207.0
SG_4	3028957.0	5314572.0	749393.0	52003.0	300869.0	133244.0	70745.0
SG_5	9541328.0	162157.0	881053.0	132791.0	1022883.0	463964.0	304259.0
SG_6	7889579.0	836251.0	756259.0	44770.0	699446.0	311293.0	213668.0
SG_7	6812993.0	160685.0	647193.0	165680.0	545055.0	360381.0	178694.0
SG_8	7968629.0	112206.0	781710.0	184521.0	614247.0	425948.0	219923.0
SRX1357231	1904.0	106.0	57777653.0	0.0	208931.0	1643.0	2.0
SRX1357232	19874.0	2498.0	45134138.0	0.0	153690.0	1965.0	20.0
SRX1357235	29859.0	2026.0	41252593.0	0.0	176057.0	3246.0	61.0
SRX1357236	37779.0	3263.0	50547808.0	0.0	198589.0	4178.0	63.0
SRX1357239	2640.0	81.0	25009890.0	0.0	173810.0	1249.0	3.0
SRX1357240	83449.0	26031.0	38376022.0	0.0	215517.0	4636.0	93.0
SRX1357243	105443.0	60030.0	40372702.0	0.0	205815.0	3069.0	77.0
SRX1357244	3992.0	577.0	46158753.0	0.0	254427.0	1852.0	8.0
SRX1549383	9370.0	48.0	2719807.0	0.0	1705396.0	6535.0	14.0
SRX1549384	787535.0	2039.0	2219321.0	0.0	352020.0	42999.0	638.0
SRX1983453	41093.0	1065.0	1256929.0	0.0	3526651.0	10503.0	25.0
SRX2629499	33673.0	2316.0	46472895.0	1425.0	8501.0	1714.0	176.0
SRX2629500	12716.0	1585.0	46422623.0	594.0	2702.0	799.0	113.0
SRX2722002	2353232.0	1322.0	155025.0	15675.0	556387.0	114702.0	16360.0
SRX2722003	2568726.0	1977.0	120023.0	12053.0	718846.0	109214.0	13534.0
SRX2722004	2501759.0	1925.0	182165.0	16672.0	868320.0	113499.0	15553.0
SRX2722005	2984229.0	13.0	187481.0	23617.0	553111.0	128062.0	23749.0
SRX2722006	3297250.0	4.0	214045.0	24369.0	568679.0	125608.0	24531.0
SRX2722007	2825009.0	17.0	170060.0	28690.0	457381.0	127663.0	23396.0
SRX2722008	2550108.0	1675.0	179302.0	35118.0	392004.0	117853.0	23053.0
