Sample	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_FragmentLength	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity
SRX8420202	6482698.0	10017.0	108558.0	65717.0	477497.0	189400.0	216881.0
SRX8420203	7423622.0	25448.0	144464.0	99317.0	405689.0	280889.0	278247.0
SRX8420204	45044.0	21.0	159331.0	110452.0	9107380.0	17243.0	800.0
SRX8420205	43555.0	1.0	149010.0	131335.0	8885670.0	15778.0	927.0
SRX8420206	7369100.0	1439.0	156668.0	87373.0	428490.0	264901.0	266628.0
SRX8420207	37781.0	390.0	162736.0	92264.0	8675676.0	13070.0	841.0
SRX8420208	43477.0	1.0	153213.0	92771.0	9187797.0	15966.0	753.0
SRX8420209	7198530.0	2587.0	112379.0	77882.0	403754.0	253610.0	253342.0
SRX9633794	9788571.0	9629084.0	2297824.0	127733.0	7597996.0	573232.0	7092.0
SRX9633795	8910582.0	7845573.0	1915487.0	43960.0	6076781.0	573405.0	7042.0
SRX9633796	8611526.0	9306674.0	2945500.0	26872.0	5598268.0	590916.0	6796.0
SRX9633797	9585332.0	7810247.0	2415977.0	24556.0	5281206.0	952098.0	6766.0
SRX9633798	14291405.0	10919928.0	906021.0	30900.0	8479996.0	1188863.0	10542.0
SRX9633799	7919040.0	7351311.0	2378498.0	13608.0	4395393.0	718594.0	5558.0
SRX9633800	6519491.0	9404603.0	1820559.0	39617.0	3597474.0	718672.0	4410.0
SRX9633801	11575009.0	12318672.0	1562413.0	43215.0	6609045.0	1261802.0	7814.0
SRX9633802	16344984.0	14902395.0	1689131.0	69021.0	8270463.0	1755246.0	11273.0
SRX9682649	1961550.0	13153.0	2023946.0	362.0	153250.0	44653.0	6725.0
SRX9682654	7529091.0	147964.0	536859.0	2267.0	2415661.0	634143.0	18576.0
SRX9682659	9273414.0	21720.0	393787.0	921.0	846250.0	378468.0	46764.0
SRX9682664	7458910.0	74697.0	331074.0	987.0	896319.0	351963.0	40335.0
SRX9682669	11918583.0	129821.0	477441.0	5120.0	2011946.0	511756.0	58589.0
SRX9682674	12206042.0	29474.0	587499.0	2838.0	2462771.0	636057.0	75971.0
SRX9699053	7151792.0	256975.0	527379.0	943.0	1819235.0	250541.0	46441.0
SRX9699054	6028525.0	269246.0	723723.0	856.0	1334954.0	216544.0	37353.0
SRX9699055	8004940.0	290797.0	528533.0	752.0	873993.0	276085.0	45841.0
SRX9699056	7560141.0	286646.0	649271.0	898.0	1087926.0	263768.0	47081.0
SRX973265	2442291.0	5523456.0	4427622.0	0.0	1393481.0	368451.0	7296.0
SRX973266	540740.0	6670891.0	1956704.0	0.0	2076929.0	166621.0	4878.0
SRX973267	1151713.0	7370891.0	1931841.0	0.0	371066.0	89399.0	2207.0
SRX973268	1075363.0	7201017.0	1728300.0	0.0	233526.0	73472.0	1822.0
SRX9960951	16964547.0	132216.0	1012808.0	0.0	3617797.0	849518.0	14258.0
SRX9960952	15555234.0	94090.0	894650.0	0.0	3061758.0	838205.0	14318.0
SRX9960953	20097349.0	555439.0	1172524.0	0.0	3877351.0	845796.0	16556.0
SRX9960954	6861441.0	140678.0	496085.0	0.0	1212780.0	346244.0	6054.0
SRX9960955	19971498.0	456152.0	1104285.0	0.0	3208561.0	664336.0	23162.0
SRX9960956	10033762.0	75330.0	517603.0	0.0	1789930.0	445764.0	11110.0
SRX9960957	11480127.0	91102.0	604625.0	0.0	2288900.0	466098.0	10695.0
SRX9960958	12197234.0	63186.0	675435.0	0.0	2569142.0	606733.0	11596.0
SRX9960959	12639349.0	125343.0	813200.0	0.0	2407236.0	601032.0	10759.0
SRX9960960	5571740.0	41669.0	400002.0	0.0	1116018.0	314499.0	5460.0
SRX9960961	11449242.0	60241.0	806728.0	0.0	2370775.0	561886.0	12870.0
SRX9960962	8478436.0	74258.0	602430.0	0.0	1733091.0	503155.0	8257.0
SRX9960963	7078535.0	49269.0	518016.0	0.0	1512040.0	346964.0	7038.0
SRX9960964	11019322.0	83291.0	797887.0	0.0	2455945.0	708045.0	11779.0
SRX9960965	10821066.0	83675.0	791948.0	0.0	1756672.0	354206.0	11356.0
SRX9960966	15743944.0	323341.0	958515.0	0.0	2555180.0	768886.0	15058.0
Vir_1	3020831.0	1338.0	1054231.0	7648.0	302083.0	155205.0	20349.0
Vir_10	2838508.0	2371.0	1032177.0	4581.0	208790.0	151866.0	18869.0
Vir_11	2637800.0	996.0	673715.0	62130.0	161239.0	120943.0	26665.0
Vir_12	3240348.0	4536.0	898262.0	75727.0	204992.0	151296.0	29820.0
Vir_13	3036194.0	369.0	796941.0	55136.0	205103.0	178065.0	26332.0
Vir_14	2926594.0	1351.0	838545.0	30243.0	258172.0	181074.0	19968.0
Vir_15	3482570.0	3896.0	1057674.0	73399.0	317385.0	224284.0	31651.0
Vir_16	3105015.0	3236.0	1003854.0	73292.0	281995.0	215063.0	28044.0
Vir_17	3197800.0	619.0	865688.0	49230.0	227372.0	181860.0	24088.0
Vir_18	2736497.0	5889.0	752451.0	67780.0	181667.0	150676.0	25091.0
Vir_19	2027299.0	2657.0	851892.0	3751.0	179947.0	112503.0	13138.0
Vir_2	2819250.0	976.0	1297354.0	12840.0	261124.0	132423.0	25259.0
Vir_20	2689740.0	754.0	886287.0	3092.0	245193.0	156519.0	13888.0
Vir_3	3095345.0	13576.0	1034059.0	2221.0	100549.0	195170.0	17869.0
Vir_4	2474525.0	3327.0	460165.0	37246.0	90969.0	157462.0	23375.0
Vir_5	2563447.0	596.0	701462.0	30831.0	161720.0	136938.0	16613.0
Vir_6	2542540.0	508.0	739796.0	59861.0	170318.0	140020.0	22301.0
Vir_7	2671201.0	1945.0	795316.0	51834.0	135336.0	138307.0	19786.0
Vir_8	2853543.0	1408.0	868693.0	45391.0	148875.0	146616.0	19816.0
Vir_9	2566857.0	434924.0	533813.0	41278.0	155518.0	146854.0	20672.0
