Sample	Sense	Antisense	Undetermined
SRX5806787	16.900000000000002	34.699999999999996	48.4
SRX5806788	15.47	36.720000000000006	47.81
SRX6877996	57.089999999999996	19.189999999999998	23.72
SRX6877997	61.870000000000005	18.78	19.35
SRX6877998	59.599999999999994	16.400000000000002	24.0
SRX6877999	43.96	29.82	26.22
SRX6878000	48.94	28.08	22.99
SRX6878001	56.52	7.249999999999999	36.230000000000004
SRX6878002	37.43	23.39	39.18
SRX6878003	79.71000000000001	5.510000000000001	14.78
SRX6878004	80.85	11.700000000000001	7.449999999999999
SRX6878005	58.97	17.09	23.93
SRX6878006	67.11	17.11	15.790000000000001
SRX6878007	66.41	17.19	16.41
SRX6878008	43.72	20.45	35.83
SRX6878009	74.00999999999999	13.120000000000001	12.870000000000001
SRX6878010	82.63000000000001	8.68	8.68
SRX6878011	37.56	22.770000000000003	39.660000000000004
SRX6878012	34.11	24.16	41.730000000000004
SRX6878013	85.04	8.51	6.45
SRX6878014	85.22	7.75	7.03
SRX6878015	84.52	9.180000000000001	6.3
SRX6878016	85.96000000000001	7.140000000000001	6.9
SRX6878017	34.72	31.65	33.629999999999995
SRX6878018	31.630000000000003	27.82	40.550000000000004
SRX6878019	38.41	17.77	43.82
SRX6878020	38.42	40.18	21.4
SRX6878021	40.72	36.980000000000004	22.3
SRX6878022	38.940000000000005	40.699999999999996	20.36
SRX6878023	43.419999999999995	17.82	38.76
SRX6878024	48.949999999999996	10.01	41.03
SRX6878025	42.33	11.93	45.739999999999995
SRX6878026	50.96000000000001	9.75	39.290000000000006
SRX6878027	44.5	4.25	51.24999999999999
SRX6878028	51.06	21.89	27.05
SRX7125364	4.37	11.57	84.06
SRX7125365	4.590000000000001	11.959999999999999	83.45
SRX7125366	13.61	23.599999999999998	62.79
SRX7125367	16.259999999999998	19.689999999999998	64.05
SRX7125368	4.44	11.600000000000001	83.96000000000001
SRX7125369	20.200000000000003	37.34	42.46
SRX7125370	19.900000000000002	42.86	37.24
SRX7125371	19.91	35.85	44.25
SRX7125372	12.370000000000001	17.43	70.19999999999999
SRX7125373	12.67	31.879999999999995	55.46
SRX7125374	16.35	28.849999999999998	54.800000000000004
SRX7125375	18.88	29.93	51.2
SRX8049165	60.0	20.0	20.0
SRX8049168	60.0	0.0	40.0
SRX8164260	14.469999999999999	43.919999999999995	41.620000000000005
SRX8164261	12.46	46.48	41.07
SRX8164262	7.88	63.39	28.720000000000002
SRX8164263	8.27	62.029999999999994	29.7
SRX8164264	13.91	53.300000000000004	32.78
SRX8164265	12.17	54.09	33.739999999999995
SRX8164266	10.4	65.97	23.630000000000003
SRX8164267	9.8	61.77	28.43
SRX8164268	6.4399999999999995	73.89	19.67
SRX8164269	7.42	71.88	20.7
SRX8164270	11.09	66.23	22.68
SRX8164271	11.18	69.13	19.689999999999998
SRX8164272	10.870000000000001	28.12	61.01
SRX8164273	10.47	27.6	61.92999999999999
SRX8164274	8.4	57.46	34.14
SRX8164275	8.260000000000002	56.8	34.94
SRX8164276	11.41	38.66	49.93
SRX8164277	12.44	30.009999999999998	57.550000000000004
SRX8164278	9.790000000000001	62.03999999999999	28.17
SRX8164279	12.1	43.93	43.980000000000004
SRX8164280	6.8500000000000005	68.37	24.779999999999998
SRX8164281	6.22	70.85000000000001	22.919999999999998
SRX8164282	8.08	62.83	29.09
SRX8164283	8.18	62.28	29.54
SRX8164284	18.2	34.9	46.9
SRX8164285	19.56	35.839999999999996	44.6
SRX8164286	14.26	27.839999999999996	57.89
SRX8164287	14.05	28.46	57.489999999999995
SRX8164288	8.81	62.71	28.48
SRX8164289	9.950000000000001	59.13	30.919999999999998
SRX8164290	13.38	26.21	60.41
SRX8164291	13.889999999999999	25.72	60.39
SRX8164292	14.16	34.18	51.66
SRX8164293	12.8	36.66	50.529999999999994
SRX8164294	13.71	33.17	53.12
SRX8164295	13.170000000000002	30.2	56.64
SRX8164296	12.82	59.589999999999996	27.589999999999996
SRX8164297	13.200000000000001	59.96	26.85
SRX8164298	9.67	68.0	22.33
SRX8164299	9.94	65.11	24.95
SRX8164300	6.370000000000001	68.56	25.069999999999997
SRX8164301	7.04	69.93	23.03
SRX8164302	8.99	38.690000000000005	52.32
SRX8164303	10.27	40.63	49.1
SRX8164304	7.720000000000001	70.17	22.11
SRX8164305	7.960000000000001	67.30000000000001	24.740000000000002
SRX8164306	7.049999999999999	66.29	26.66
SRX8164307	6.63	72.71	20.66
SRX8387559	16.39	14.82	68.8
SRX8387560	16.619999999999997	14.21	69.17999999999999
SRX8387561	10.96	21.86	67.17999999999999
SRX8387562	9.790000000000001	19.3	70.91
SRX8387563	9.29	24.759999999999998	65.95
SRX8387564	11.29	26.61	62.09
SRX8387565	15.89	36.41	47.699999999999996
SRX8387566	17.32	34.47	48.209999999999994
SRX8387567	8.559999999999999	38.74	52.7
SRX8387568	8.89	38.04	53.059999999999995
SRX8387571	19.57	16.900000000000002	63.53
SRX8387574	7.01	56.96	36.02
SRX8387575	17.36	40.79	41.839999999999996
SRX8387576	6.92	55.67999999999999	37.4
SRX8387577	17.09	43.269999999999996	39.64
SRX8387582	20.19	16.650000000000002	63.17
SRX8387589	16.61	20.45	62.94
SRX8387590	18.029999999999998	18.18	63.78
SRX8387591	24.36	20.62	55.02
SRX8387592	21.63	22.62	55.75
SRX8387593	13.3	27.689999999999998	59.01
SRX8387594	13.780000000000001	28.24	57.98
SRX8420202	10.92	8.34	80.74
SRX8420203	9.59	5.45	84.96000000000001
SRX8420204	8.89	4.04	87.06
SRX8420205	8.450000000000001	4.02	87.53
SRX8420206	10.08	5.41	84.50999999999999
SRX8420207	10.290000000000001	4.47	85.22999999999999
SRX8420208	9.17	3.18	87.64999999999999
SRX8420209	9.229999999999999	4.859999999999999	85.91
SRX9633794	24.03	29.360000000000003	46.61
SRX9633795	23.24	32.65	44.11
SRX9633796	20.27	30.2	49.53
SRX9633797	14.89	38.81	46.300000000000004
SRX9633798	17.57	37.66	44.769999999999996
SRX9633799	14.6	37.63	47.77
SRX9633800	13.76	40.849999999999994	45.39
SRX9633801	14.77	38.72	46.51
SRX9633802	14.17	40.25	45.57
SRX9682649	17.78	25.56	56.65
SRX9682654	26.640000000000004	20.09	53.269999999999996
SRX9682659	28.57	24.36	47.06
SRX9682664	27.700000000000003	16.86	55.45
SRX9682669	29.799999999999997	24.01	46.19
SRX9682674	25.47	27.439999999999998	47.089999999999996
SRX9699053	60.589999999999996	34.13	5.28
SRX9699054	62.27	31.169999999999998	6.5600000000000005
SRX9699055	68.87	25.4	5.7299999999999995
SRX9699056	73.52	20.62	5.86
SRX973265	68.45	12.33	19.23
SRX973266	63.449999999999996	3.0	33.54
SRX973267	65.45	16.09	18.459999999999997
SRX973268	50.0	0.0	50.0
SRX9960951	33.660000000000004	16.06	50.27
SRX9960952	26.76	15.939999999999998	57.29
SRX9960953	38.190000000000005	16.520000000000003	45.29
