Sample	Top over-represented sequence	Sum of remaining over-represented sequences
CM_1	0.162560689782135	0.0
CM_10	0.1435651393784787	0.0
CM_11	0.19341938080806495	0.1131447988442871
CM_12	0.1500303130299984	0.0
CM_13	0.0	0.0
CM_14	0.2647892872571453	0.3136783646671874
CM_15	0.28512758368438873	0.10409802892443398
CM_16	0.0	0.0
CM_2	0.131359368473794	0.0
CM_3	0.5121942830358903	0.16473535418101148
CM_4	0.0	0.0
CM_5	0.13512778455618024	0.0
CM_6	0.0	0.0
CM_7	0.3698679881997822	0.445985025663538
CM_8	0.1337439612260038	0.10538416628440761
CM_9	0.29366005215957386	0.22907591525976184
Cody_1	0.3153720111556303	0.2986847220767509
Cody_2	0.2939901996716192	0.2729038705106802
Cody_3	0.24810125838313954	0.14189809021391978
Cody_4	0.6270145994800986	1.1718024206678836
ERX4294041	0.8427951259582684	3.746881404483748
ERX4294042	0.37252287685700025	0.9898751658142685
ERX4294043	0.28837292601885617	0.5410057886078183
ERX4294044	0.1952813072126592	0.2535298347203172
ERX4294045	0.19893759005656284	0.31088148908696056
ERX4294046	0.2312273631587002	0.38728766005203286
ERX4294047	0.7353055827249834	2.8627708834528898
ERX4294048	1.0539497362357677	3.2156812180806034
ERX4294049	0.8380078904637012	3.060587922454254
ERX4294050	0.8236803697483022	1.5834928150348504
ERX4294051	0.2594692339659984	0.11028706072408523
ERX4294052	0.24557472288188123	0.3095783377075383
ERX5228512	0.42509546534586	3.782967289236455
ERX5228513	0.4947170779644793	3.467701629252549
ERX5228514	0.46661217009037453	3.334864743459048
ERX5228515	0.390905331740105	4.8512592111795065
ERX5228516	0.3714399905231957	2.5292403915674506
ERX5228517	0.35674838758745564	3.0179597471180375
Metab_1	0.10055434950548335	0.0
Metab_10	0.3959855780648598	0.12331691539441558
Metab_11	0.12770500757882924	0.21494332978762426
Metab_12	0.38516870407893905	0.3576677581023631
Metab_13	0.0	0.0
Metab_14	0.0	0.0
Metab_15	0.30416560370275886	2.958927074601845
Metab_16	0.27321083940874796	2.121509352376168
Metab_17	0.1503905155801622	0.0
Metab_18	0.29464303270567915	2.131602755677269
Metab_19	0.10493385664802751	0.0
Metab_2	0.21364967742882363	0.7283607033265802
Metab_20	0.26985288646970246	2.341459661109585
Metab_3	0.10042026994261698	0.0
Metab_4	0.17792809764841502	0.3521685663300236
Metab_5	0.12160572346204171	0.0
Metab_6	0.3829280696150695	0.11734187135140123
Metab_7	0.5605770061020199	3.2874390309359276
Metab_8	0.1106011327477675	0.0
Metab_9	0.0	0.0
Mia_0	0.4467477261615579	0.6236646027895506
Mia_1	0.4213870044342473	0.3902908269994589
Mia_2	0.12089324556672804	0.0
Mia_3	0.1190546386789399	0.0
Mia_4	0.6743374417525893	1.3250999005115802
Mia_5	0.5817443374148673	0.4028875004940887
Mia_6	0.2259410805627845	0.14267910603936002
