Sample	pe_sense	pe_antisense	failed	se_sense	se_antisense
SRX6878012			0.4173	0.3411	0.2416
SRX6878013			0.0645	0.8504	0.0851
SRX6878014			0.0703	0.8522	0.0775
SRX6878015			0.063	0.8452	0.0918
SRX6878016			0.069	0.8596	0.0714
SRX6878017			0.3363	0.3472	0.3165
SRX6878018			0.4055	0.3163	0.2782
SRX6878019			0.4382	0.3841	0.1777
SRX6878020			0.214	0.3842	0.4018
SRX6878021			0.223	0.4072	0.3698
SRX6878022			0.2036	0.3894	0.407
SRX6878023			0.3876	0.4342	0.1782
SRX6878024			0.4103	0.4895	0.1001
SRX6878025			0.4574	0.4233	0.1193
SRX6878026			0.3929	0.5096	0.0975
SRX6878027			0.5125	0.445	0.0425
SRX6878028			0.2705	0.5106	0.2189
SRX7125364			0.8406	0.0437	0.1157
SRX7125365			0.8345	0.0459	0.1196
SRX7125366			0.6279	0.1361	0.236
SRX7125367			0.6405	0.1626	0.1969
SRX7125368			0.8396	0.0444	0.116
SRX7125369			0.4246	0.202	0.3734
SRX7125370			0.3724	0.199	0.4286
SRX7125371			0.4425	0.1991	0.3585
SRX7125372			0.702	0.1237	0.1743
SRX7125373			0.5546	0.1267	0.3188
SRX7125374			0.548	0.1635	0.2885
SRX7125375			0.512	0.1888	0.2993
SRX8049165			0.2	0.6	0.2
SRX8049168			0.4	0.6	0.0
SRX8164260	0.1447	0.4392	0.4162		
SRX8164261	0.1246	0.4648	0.4107		
SRX8164262	0.0788	0.6339	0.2872		
SRX8164263	0.0827	0.6203	0.297		
SRX8164264	0.1391	0.533	0.3278		
SRX8164265	0.1217	0.5409	0.3374		
SRX8164266	0.104	0.6597	0.2363		
SRX8164267	0.098	0.6177	0.2843		
SRX8164268	0.0644	0.7389	0.1967		
SRX8164269	0.0742	0.7188	0.207		
SRX8164270	0.1109	0.6623	0.2268		
SRX8164271	0.1118	0.6913	0.1969		
SRX8164272	0.1087	0.2812	0.6101		
SRX8164273	0.1047	0.276	0.6193		
SRX8164274	0.084	0.5746	0.3414		
SRX8164275	0.0826	0.568	0.3494		
SRX8164276	0.1141	0.3866	0.4993		
SRX8164277	0.1244	0.3001	0.5755		
SRX8164278	0.0979	0.6204	0.2817		
SRX8164279	0.121	0.4393	0.4398		
SRX8164280	0.0685	0.6837	0.2478		
SRX8164281	0.0622	0.7085	0.2292		
SRX8164282	0.0808	0.6283	0.2909		
SRX8164283	0.0818	0.6228	0.2954		
SRX8164284	0.182	0.349	0.469		
SRX8164285	0.1956	0.3584	0.446		
SRX8164286	0.1426	0.2784	0.5789		
SRX8164287	0.1405	0.2846	0.5749		
SRX8164288	0.0881	0.6271	0.2848		
SRX8164289	0.0995	0.5913	0.3092		
SRX8164290	0.1338	0.2621	0.6041		
SRX8164291	0.1389	0.2572	0.6039		
SRX8164292	0.1416	0.3418	0.5166		
SRX8164293	0.128	0.3666	0.5053		
SRX8164294	0.1371	0.3317	0.5312		
SRX8164295	0.1317	0.302	0.5664		
SRX8164296	0.1282	0.5959	0.2759		
SRX8164297	0.132	0.5996	0.2685		
SRX8164298	0.0967	0.68	0.2233		
SRX8164299	0.0994	0.6511	0.2495		
SRX8164300	0.0637	0.6856	0.2507		
SRX8164301	0.0704	0.6993	0.2303		
SRX8164302	0.0899	0.3869	0.5232		
SRX8164303	0.1027	0.4063	0.491		
SRX8164304	0.0772	0.7017	0.2211		
SRX8164305	0.0796	0.673	0.2474		
SRX8164306	0.0705	0.6629	0.2666		
SRX8164307	0.0663	0.7271	0.2066		
SRX8387559	0.1639	0.1482	0.688		
SRX8387560	0.1662	0.1421	0.6918		
SRX8387561	0.1096	0.2186	0.6718		
SRX8387562	0.0979	0.193	0.7091		
SRX8387563	0.0929	0.2476	0.6595		
SRX8387564	0.1129	0.2661	0.6209		
SRX8387565	0.1589	0.3641	0.477		
SRX8387566	0.1732	0.3447	0.4821		
SRX8387567	0.0856	0.3874	0.527		
SRX8387568	0.0889	0.3804	0.5306		
SRX8387571	0.1957	0.169	0.6353		
SRX8387574	0.0701	0.5696	0.3602		
SRX8387575	0.1736	0.4079	0.4184		
SRX8387576	0.0692	0.5568	0.374		
SRX8387577	0.1709	0.4327	0.3964		
SRX8387582	0.2019	0.1665	0.6317		
SRX8387589	0.1661	0.2045	0.6294		
SRX8387590	0.1803	0.1818	0.6378		
SRX8387591	0.2436	0.2062	0.5502		
SRX8387592	0.2163	0.2262	0.5575		
SRX8387593	0.133	0.2769	0.5901		
SRX8387594	0.1378	0.2824	0.5798		
