Sample	Unique Reads	Duplicate Reads
SRX5505135	1193953.0	3744754.0
SRX5505136	1072999.0	3813999.0
SRX5505137	794212.0	3273777.0
SRX5505138	980014.0	5200235.0
SRX5505139	817782.0	3557053.0
SRX5505140	998647.0	5662537.0
SRX5505141	1513967.0	5700018.0
SRX5505142	900186.0	4802315.0
SRX5505143	1665594.0	5994215.0
SRX5505144	1634045.0	6016576.0
SRX5797722	2741906.0	30998120.0
SRX5797723	2586995.0	31759563.0
SRX5797724	2500277.0	30220629.0
SRX5797725	2315454.0	20036247.0
SRX5797726	2470779.0	24763806.0
SRX5797727	2871953.0	33274174.0
SRX5806783	2738082.0	31387475.0
SRX5806784	2419815.0	29426989.0
SRX5806785	2298945.0	25195734.0
SRX5806786	2777078.0	26645154.0
SRX5806787	2332276.0	25695313.0
SRX5806788	2304201.0	26352798.0
SRX6877996	1231288.0	2228135.0
SRX6877997	1222109.0	2398854.0
SRX6877998	1022628.0	4152352.0
SRX6877999	1424968.0	7220873.0
SRX6878000	881408.0	3655423.0
SRX6878001	3085319.0	39706120.0
SRX6878002	4826320.0	73640543.0
SRX6878003	2864555.0	18547182.0
SRX6878004	1267684.0	27835093.0
SRX6878005	1975355.0	5339811.0
SRX6878006	2928486.0	34205349.0
SRX6878007	5567558.0	19177843.0
SRX6878008	1234807.0	6000863.0
SRX6878009	10587347.0	22401112.0
SRX6878010	6872571.0	38254738.0
SRX6878011	3972449.0	6962929.0
SRX6878012	5014048.0	8762061.0
SRX6878013	2054328.0	6013355.0
SRX6878014	3476017.0	12675953.0
SRX6878015	3968738.0	15236141.0
SRX6878016	3605063.0	14543209.0
SRX6878017	2571450.0	7012494.0
SRX6878018	3977254.0	10000057.0
SRX6878019	1794359.0	10230256.0
SRX6878020	4371117.0	13254403.0
SRX6878021	8162916.0	23020584.0
SRX6878022	7941797.0	25930170.0
SRX6878023	1677434.0	11914545.0
SRX6878024	1344323.0	2922669.0
SRX6878025	1711656.0	3404143.0
SRX6878026	1033191.0	4950299.0
SRX6878027	501769.0	3392923.0
SRX6878028	685180.0	2200158.0
SRX7125364	4428474.0	23663780.0
SRX7125365	4644960.0	26214793.0
SRX7125366	7892405.0	17397164.0
SRX7125367	5665375.0	14430778.0
SRX7125368	4765557.0	27441455.0
SRX7125369	3416666.0	15135055.0
SRX7125370	6370250.0	15366175.0
SRX7125371	7012019.0	14397978.0
SRX7125372	9591707.0	21340856.0
SRX7125373	11488987.0	15043061.0
SRX7125374	11460331.0	17214399.0
SRX7125375	7129163.0	13722484.0
SRX8049163	2165264.0	9654876.0
SRX8049164	2017353.0	8961307.0
SRX8049165	2151062.0	9488334.0
SRX8049166	2036847.0	9086167.0
SRX8049167	2134032.0	9299765.0
SRX8049168	2017698.0	7971537.0
SRX8164260	1609294.0	10389130.0
SRX8164261	1402807.0	6913156.0
SRX8164262	1451441.0	6935157.0
SRX8164263	1411284.0	6896464.0
SRX8164264	1647334.0	9981781.0
SRX8164265	1379135.0	8474270.0
SRX8164266	1303482.0	6390553.0
SRX8164267	1526659.0	9590313.0
SRX8164268	1113596.0	9079275.0
SRX8164269	1708859.0	9901358.0
SRX8164270	1408487.0	6676072.0
SRX8164271	1498130.0	7531223.0
SRX8164272	1221287.0	5797314.0
SRX8164273	1269962.0	6340369.0
SRX8164274	1725787.0	10392363.0
SRX8164275	1478106.0	7781879.0
SRX8164276	1351733.0	6557318.0
SRX8164277	1443027.0	8214479.0
SRX8164278	1404057.0	7074730.0
SRX8164279	1530870.0	7771800.0
SRX8164280	1536061.0	7460844.0
SRX8164281	1507925.0	7287490.0
SRX8164282	1449667.0	6568636.0
SRX8164283	1480101.0	7676806.0
SRX8164284	1616845.0	7608321.0
SRX8164285	1654448.0	8882351.0
SRX8164286	1515233.0	7232952.0
SRX8164287	1196440.0	4919120.0
SRX8164288	1463323.0	7640787.0
SRX8164289	1495785.0	8499981.0
SRX8164290	1534695.0	8492000.0
SRX8164291	1480937.0	8076700.0
SRX8164292	1234238.0	6156330.0
SRX8164293	1568631.0	9061237.0
SRX8164294	1719151.0	8675433.0
SRX8164295	1395184.0	7950328.0
SRX8164296	1584061.0	7478825.0
SRX8164297	1507020.0	6621404.0
SRX8164298	1532910.0	7937157.0
SRX8164299	1461279.0	7500694.0
SRX8164300	1605924.0	6693222.0
SRX8164301	1639737.0	8570461.0
SRX8164302	1269042.0	5599738.0
SRX8164303	1421082.0	7469730.0
SRX8164304	1616450.0	9107677.0
SRX8164305	1484809.0	7167884.0
SRX8164306	1487293.0	7030223.0
SRX8164307	1272831.0	5116769.0
SRX8387559	2257615.0	3365317.0
SRX8387560	1227720.0	4823343.0
SRX8387561	1644108.0	7773831.0
SRX8387562	1557756.0	7850480.0
SRX8387563	1605468.0	7364147.0
SRX8387564	1671704.0	7788349.0
SRX8387565	1635410.0	7707795.0
SRX8387566	1657981.0	8276424.0
SRX8387567	1844866.0	9403374.0
SRX8387568	1813400.0	8985315.0
SRX8387571	2064121.0	3242644.0
SRX8387574	1472879.0	8850162.0
SRX8387575	1473028.0	6544498.0
SRX8387576	1368051.0	7701916.0
SRX8387577	1523112.0	6182494.0
SRX8387582	1357712.0	5486828.0
SRX8387589	2637108.0	3714444.0
SRX8387590	1261082.0	4216990.0
SRX8387591	2434039.0	3725794.0
SRX8387592	2561813.0	4313855.0
SRX8387593	1898520.0	9226763.0
SRX8387594	1507195.0	6340112.0
SRX8420202	1176393.0	6374375.0
SRX8420203	1305362.0	7352314.0
SRX8420204	1447008.0	7993263.0
SRX8420205	1275305.0	7950971.0
SRX8420206	1388122.0	7186477.0
SRX8420207	1270860.0	7711898.0
SRX8420208	1431290.0	8062688.0
SRX8420209	1219090.0	7082994.0
SRX9633794	1976017.0	28045515.0
SRX9633795	1397921.0	23974909.0
SRX9633796	2740751.0	24345801.0
SRX9633797	1311173.0	24765009.0
SRX9633798	2889213.0	32938442.0
SRX9633799	2721193.0	20060809.0
SRX9633800	1055915.0	21048911.0
SRX9633801	3010139.0	30367831.0
SRX9633802	3683448.0	39359065.0
SRX9682649	1263649.0	2939990.0
SRX9682654	1467515.0	9817046.0
SRX9682659	2169640.0	8791684.0
SRX9682664	1750232.0	7404053.0
SRX9682669	1938424.0	13174832.0
SRX9682674	2319346.0	13681306.0
SRX9699053	2984862.0	7068444.0
SRX9699054	2813039.0	5798162.0
SRX9699055	2926404.0	7094537.0
SRX9699056	3198846.0	6696885.0
SRX973265	1714774.0	12447823.0
SRX973266	496311.0	10920452.0
SRX973267	1309820.0	9607297.0
SRX973268	1251302.0	9062198.0
SRX9960951	5927877.0	16663267.0
SRX9960952	5215791.0	15242464.0
SRX9960953	6750764.0	19814251.0
SRX9960954	2553283.0	6509999.0
SRX9960955	8956534.0	16471460.0
SRX9960956	3657563.0	9215936.0
SRX9960957	4118635.0	10822912.0
SRX9960958	4411665.0	11711661.0
SRX9960959	4231409.0	12365510.0
SRX9960960	2209211.0	5240177.0
SRX9960961	4194348.0	11067394.0
SRX9960962	3038970.0	8360657.0
SRX9960963	2574649.0	6937213.0
SRX9960964	3990676.0	11085593.0
SRX9960965	3919967.0	9898956.0
SRX9960966	5401548.0	14963376.0
Vir_1	755901.0	3805784.0
Vir_10	3140077.0	1117085.0
Vir_11	2922182.0	761306.0
Vir_12	869041.0	3735940.0
Vir_13	959075.0	3339065.0
Vir_14	3381363.0	874584.0
Vir_15	1081985.0	4108874.0
Vir_16	3817441.0	893058.0
Vir_17	3617174.0	929483.0
Vir_18	3194449.0	725602.0
Vir_19	732536.0	2458651.0
Vir_2	1990149.0	2559077.0
Vir_20	815264.0	3180209.0
Vir_3	820722.0	3638067.0
Vir_4	2596224.0	650845.0
Vir_5	2886473.0	725134.0
Vir_6	2983796.0	691548.0
Vir_7	879774.0	2933951.0
Vir_8	3281363.0	802979.0
Vir_9	834170.0	3065746.0
