Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRX8164300	8299146	6573029	386174	125539	0	0	0	0	122342	0	0	0	0	504081	292818	295163	79.20126962460957
SRX8164301	10210198	8501057	787	147105	0	0	0	0	120408	0	0	0	0	760152	330591	350098	83.26045195205812
SRX8164302	6868780	5743114	173	85780	0	0	0	0	88303	0	0	0	0	426450	257644	267316	83.61184955698101
SRX8164303	8890812	7377862	655	124638	0	0	0	0	122969	0	0	0	0	600852	327614	336222	82.98299412922015
SRX8164304	10724127	8525305	220271	186205	0	0	0	0	107177	0	0	0	0	950718	409543	324908	79.49649421346838
SRX8164305	8652693	6997369	1915	159681	0	0	0	0	80690	0	0	0	0	834849	313053	265136	80.8692623209907
SRX8164306	8517516	7039970	13892	127686	0	0	0	0	88696	0	0	0	0	639291	328690	279291	82.65285324970331
SRX8164307	6389600	5272306	261	94674	0	0	0	0	69342	0	0	0	0	483797	260831	208389	82.5138662827094
SRX8387559	5622932	3745029	79	1174354	0	0	0	0	199985	0	0	0	0	313063	128556	61866	66.60277947519194
SRX8387560	6051063	4118719	91	1215656	0	0	0	0	171062	0	0	0	0	342160	137864	65511	68.06604062790291
SRX8387561	9417939	7972350	143	212819	0	0	0	0	48183	0	0	0	0	384183	451801	348460	84.65068631257859
SRX8387562	9408236	7941644	68	182496	0	0	0	0	81799	0	0	0	0	367870	463073	371286	84.41161552495069
SRX8387563	8969615	7516291	7098	178370	0	0	0	0	64074	0	0	0	0	490288	388573	324921	83.79725328233152
SRX8387564	9460053	8069731	31632	148935	0	0	0	0	67735	0	0	0	0	441798	360838	339384	85.30323244489222
SRX8387565	9343205	7825375	49	170023	0	0	0	0	81386	0	0	0	0	645346	338600	282426	83.75471800094293
SRX8387566	9934405	8436531	38	185306	0	0	0	0	61091	0	0	0	0	636563	340693	274183	84.92235820866976
SRX8387567	11248240	9360135	337	205241	0	0	0	0	87076	0	0	0	0	673605	499408	422438	83.2142184021678
SRX8387568	10798715	8923747	399	215819	0	0	0	0	84304	0	0	0	0	690379	483086	400981	82.63711932391956
SRX8387571	5306765	3557392	361	1091478	0	0	0	0	173618	0	0	0	0	301174	123873	58869	67.03503923765231
SRX8387574	10323041	8564253	2617	194018	0	0	0	0	77371	0	0	0	0	923616	274263	286903	82.96250106921012
