Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRX9633800	22104826	6519491	9404603	1820559	0	0	0	0	39617	0	0	0	0	3597474	718672	4410	29.493518745635004
SRX9633801	33377970	11575009	12318672	1562413	0	0	0	0	43215	0	0	0	0	6609045	1261802	7814	34.67858890160186
SRX9633802	43042513	16344984	14902395	1689131	0	0	0	0	69021	0	0	0	0	8270463	1755246	11273	37.974046729102454
SRX9682649	4203639	1961550	13153	2023946	0	0	0	0	362	0	0	0	0	153250	44653	6725	46.663141149846595
SRX9682654	11284561	7529091	147964	536859	0	0	0	0	2267	0	0	0	0	2415661	634143	18576	66.72028269420494
SRX9682659	10961324	9273414	21720	393787	0	0	0	0	921	0	0	0	0	846250	378468	46764	84.60122153126758
SRX9682664	9154285	7458910	74697	331074	0	0	0	0	987	0	0	0	0	896319	351963	40335	81.47998450998631
SRX9682669	15113256	11918583	129821	477441	0	0	0	0	5120	0	0	0	0	2011946	511756	58589	78.8617820011783
SRX9682674	16000652	12206042	29474	587499	0	0	0	0	2838	0	0	0	0	2462771	636057	75971	76.28465390035356
SRX9699053	10053306	7151792	256975	527379	0	0	0	0	943	0	0	0	0	1819235	250541	46441	71.13870800311858
SRX9699054	8611201	6028525	269246	723723	0	0	0	0	856	0	0	0	0	1334954	216544	37353	70.00794662672489
SRX9699055	10020941	8004940	290797	528533	0	0	0	0	752	0	0	0	0	873993	276085	45841	79.88211885490594
SRX9699056	9895731	7560141	286646	649271	0	0	0	0	898	0	0	0	0	1087926	263768	47081	76.39800435157342
SRX973265	14162597	2442291	5523456	4427622	0	0	0	0	0	0	0	0	0	1393481	368451	7296	17.24465505867321
SRX973266	11416763	540740	6670891	1956704	0	0	0	0	0	0	0	0	0	2076929	166621	4878	4.7363687938516374
SRX973267	10917117	1151713	7370891	1931841	0	0	0	0	0	0	0	0	0	371066	89399	2207	10.549607556647054
SRX973268	10313500	1075363	7201017	1728300	0	0	0	0	0	0	0	0	0	233526	73472	1822	10.426751345324089
SRX9960951	22591144	16964547	132216	1012808	0	0	0	0	0	0	0	0	0	3617797	849518	14258	75.09379339089689
SRX9960952	20458255	15555234	94090	894650	0	0	0	0	0	0	0	0	0	3061758	838205	14318	76.03402147446104
SRX9960953	26565015	20097349	555439	1172524	0	0	0	0	0	0	0	0	0	3877351	845796	16556	75.65344495382367
SRX9960954	9063282	6861441	140678	496085	0	0	0	0	0	0	0	0	0	1212780	346244	6054	75.7059197760811
SRX9960955	25427994	19971498	456152	1104285	0	0	0	0	0	0	0	0	0	3208561	664336	23162	78.54138238352581
SRX9960956	12873499	10033762	75330	517603	0	0	0	0	0	0	0	0	0	1789930	445764	11110	77.94121862284683
SRX9960957	14941547	11480127	91102	604625	0	0	0	0	0	0	0	0	0	2288900	466098	10695	76.83359025675186
SRX9960958	16123326	12197234	63186	675435	0	0	0	0	0	0	0	0	0	2569142	606733	11596	75.64961472589464
SRX9960959	16596919	12639349	125343	813200	0	0	0	0	0	0	0	0	0	2407236	601032	10759	76.154791139247
SRX9960960	7449388	5571740	41669	400002	0	0	0	0	0	0	0	0	0	1116018	314499	5460	74.79460057658429
SRX9960961	15261742	11449242	60241	806728	0	0	0	0	0	0	0	0	0	2370775	561886	12870	75.01923437049322
SRX9960962	11399627	8478436	74258	602430	0	0	0	0	0	0	0	0	0	1733091	503155	8257	74.37467910134252
SRX9960963	9511862	7078535	49269	518016	0	0	0	0	0	0	0	0	0	1512040	346964	7038	74.41797410433415
SRX9960964	15076269	11019322	83291	797887	0	0	0	0	0	0	0	0	0	2455945	708045	11779	73.09051065618424
SRX9960965	13818923	10821066	83675	791948	0	0	0	0	0	0	0	0	0	1756672	354206	11356	78.30614585521607
SRX9960966	20364924	15743944	323341	958515	0	0	0	0	0	0	0	0	0	2555180	768886	15058	77.30912229282073
Vir_1	4561685	3020831	1338	1054231	0	0	0	0	7648	0	0	0	0	302083	155205	20349	66.22182373399303
Vir_10	4257162	2838508	2371	1032177	0	0	0	0	4581	0	0	0	0	208790	151866	18869	66.67606259757088
Vir_11	3683488	2637800	996	673715	0	0	0	0	62130	0	0	0	0	161239	120943	26665	71.6114726042273
Vir_12	4604981	3240348	4536	898262	0	0	0	0	75727	0	0	0	0	204992	151296	29820	70.36615351941734
Vir_13	4298140	3036194	369	796941	0	0	0	0	55136	0	0	0	0	205103	178065	26332	70.63971857594215
Vir_14	4255947	2926594	1351	838545	0	0	0	0	30243	0	0	0	0	258172	181074	19968	68.7648130956518
Vir_15	5190859	3482570	3896	1057674	0	0	0	0	73399	0	0	0	0	317385	224284	31651	67.09043724747676
Vir_16	4710499	3105015	3236	1003854	0	0	0	0	73292	0	0	0	0	281995	215063	28044	65.91690179745288
Vir_17	4546657	3197800	619	865688	0	0	0	0	49230	0	0	0	0	227372	181860	24088	70.33299410973821
Vir_18	3920051	2736497	5889	752451	0	0	0	0	67780	0	0	0	0	181667	150676	25091	69.80768872649871
Vir_19	3191187	2027299	2657	851892	0	0	0	0	3751	0	0	0	0	179947	112503	13138	63.52805398116751
Vir_2	4549226	2819250	976	1297354	0	0	0	0	12840	0	0	0	0	261124	132423	25259	61.972080525346506
Vir_20	3995473	2689740	754	886287	0	0	0	0	3092	0	0	0	0	245193	156519	13888	67.3196890580915
Vir_3	4458789	3095345	13576	1034059	0	0	0	0	2221	0	0	0	0	100549	195170	17869	69.42120382911145
Vir_4	3247069	2474525	3327	460165	0	0	0	0	37246	0	0	0	0	90969	157462	23375	76.20795862360794
Vir_5	3611607	2563447	596	701462	0	0	0	0	30831	0	0	0	0	161720	136938	16613	70.97801615735045
Vir_6	3675344	2542540	508	739796	0	0	0	0	59861	0	0	0	0	170318	140020	22301	69.17828644067059
Vir_7	3813725	2671201	1945	795316	0	0	0	0	51834	0	0	0	0	135336	138307	19786	70.04178329585903
Vir_8	4084342	2853543	1408	868693	0	0	0	0	45391	0	0	0	0	148875	146616	19816	69.86542752786129
Vir_9	3899916	2566857	434924	533813	0	0	0	0	41278	0	0	0	0	155518	146854	20672	65.81826377798906
