Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRX2722010	SRX2722010_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3843536.0	0.0	20-101	35.0	21.313244248335543	99.74717916002348	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX2722011	SRX2722011_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3901254.0	0.0	20-101	34.0	23.805934133740966	99.09800079666692	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX2722012	SRX2722012_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4300092.0	0.0	20-101	35.0	19.164957325170374	99.76106697252058	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX2722013	SRX2722013_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4519819.0	0.0	20-101	34.0	24.174269162139705	99.19148753523095	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX2722014	SRX2722014_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3731954.0	0.0	20-101	35.0	22.37522615057235	99.75592839568762	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX2722015	SRX2722015_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3417689.0	0.0	20-101	34.0	27.457380759856733	99.17810134274944	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX2722016	SRX2722016_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3636707.0	0.0	20-101	34.0	26.15485152143393	99.1198103119113	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX2722017	SRX2722017_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3869151.0	0.0	20-101	35.0	23.02445322433309	99.75264702773296	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX2722018	SRX2722018_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4484049.0	0.0	20-101	35.0	20.701854798438895	99.76344950735373	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX3489448	SRX3489448_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5074248.0	0.0	20-76	39.0	18.154011003901125	75.16795789247983	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX3489449	SRX3489449_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10629118.0	0.0	20-76	40.0	18.943622532883296	74.66657967293241	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX3489450	SRX3489450_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4052044.0	0.0	20-76	39.0	23.768594384463036	74.01374368096694	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX3489451	SRX3489451_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3246350.0	0.0	24-76	39.0	20.941444264649707	74.9679966731868	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX3489452	SRX3489452_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4388157.0	0.0	21-76	41.0	18.386377580988388	74.95157762131117	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX3489453	SRX3489453_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4732980.0	0.0	21-76	42.0	15.632553196513568	74.90123769802534	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX4065827	SRX4065827_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6346730.0	0.0	20-100	35.0	17.591281986577005	98.8322477874433	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX4065829	SRX4065829_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5475202.0	0.0	20-100	36.0	20.722301513802247	99.18954076945472	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX4065834	SRX4065834_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5063159.0	0.0	20-100	35.0	21.40903083610077	98.80181088525958	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX4065836	SRX4065836_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6052538.0	0.0	20-100	35.0	18.26571210075143	99.20548801180595	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX4065848	SRX4065848_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5841011.0	0.0	20-100	35.0	16.94294087305207	99.21373953926812	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX4913542	SRX4913542_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4661170.0	0.0	20-361	42.0	23.43263707558224	175.0587886732301	pass	warn		pass	fail	fail	pass	warn	fail	fail	pass
SRX4913543	SRX4913543_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4060577.0	0.0	20-362	37.0	31.173667384354964	147.3903132485851	pass	warn		pass	fail	warn	pass	warn	fail	warn	pass
SRX4913544	SRX4913544_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21483.0	0.0	20-372	42.0	76.1020341665503	140.14862914862914	pass	pass		pass	fail	fail	pass	warn	pass	warn	pass
SRX5014557	SRX5014557_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3330622.0	0.0	20-100	35.0	29.78294407448651	98.28653746957775	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX5014562	SRX5014562_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7165618.0	0.0	20-101	37.0	21.785239288233996	99.52744173635826	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX5014564	SRX5014564_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6871312.0	0.0	21-101	34.0	22.850905073348137	99.80567117313258	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX5014568	SRX5014568_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7751925.0	0.0	20-101	34.0	21.895061518836847	99.53998264947094	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX5014569	SRX5014569_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2745401.0	0.0	20-100	35.0	34.51903891716584	98.22071165560149	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX5014570	SRX5014570_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7498117.0	0.0	20-101	41.0	16.948362666157948	99.7671439376046	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX5014574	SRX5014574_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3527577.0	0.0	20-100	35.0	23.69599474543197	99.19936488983798	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX5014577	SRX5014577_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3005149.0	0.0	20-100	35.0	31.724576890305485	98.22039705851523	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX5014579	SRX5014579_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3598339.0	0.0	20-100	35.0	26.51931102202593	98.33907922516472	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX5014581	SRX5014581_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7961304.0	0.0	20-101	34.0	22.657906065580534	99.51206711865292	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX5014583	SRX5014583_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8313637.0	0.0	21-101	34.0	18.280067613547363	99.8311201222762	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX5014587	SRX5014587_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7259582.0	0.0	21-101	34.0	18.751965367509843	99.78444433853079	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX5014588	SRX5014588_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7042088.0	0.0	20-101	34.0	22.044043236741103	99.52403633695006	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX502154	SRX502154_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4399924.0	0.0	20-148	48.0	40.92514226127412	123.42743942849921	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
SRX502155	SRX502155_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3728556.0	0.0	20-148	46.0	36.18951078817243	125.8403982667821	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
SRX502158	SRX502158_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2628457.0	0.0	20-148	41.0	40.53521500395584	131.38423759643015	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
SRX5233212	SRX5233212_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2503816.0	0.0	20-51	47.0	40.74598142655217	49.05788324701176	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX5233213	SRX5233213_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3440571.0	0.0	20-51	48.0	29.037537325161168	49.639362187264844	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX5233214	SRX5233214_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2019225.0	0.0	20-51	48.0	17.056583240737982	49.969694313412326	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX5233215	SRX5233215_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2644016.0	0.0	20-51	47.0	17.345489189533943	49.95747075660662	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX5233216	SRX5233216_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1711396.0	0.0	20-51	47.0	17.60938746778126	50.00229637091591	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX5233217	SRX5233217_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3464091.0	0.0	20-51	49.0	18.616642879462063	49.865778352820406	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRX5299657	SRX5299657_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23591803.0	0.0	20-126	34.0	9.022239039870412	119.88087214020904	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX5299658	SRX5299658_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24467085.0	0.0	20-126	34.0	8.802344787524683	120.17045904732828	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX5299659	SRX5299659_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23947875.0	0.0	20-126	34.0	8.131626267109047	120.37304504053074	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
SRX5299660	SRX5299660_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23617046.0	0.0	20-126	35.0	8.585794102426508	120.4769092205689	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
SRX5299661	SRX5299661_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22780507.0	0.0	20-126	35.0	8.670845011945053	120.29954811804672	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
SRX5299662	SRX5299662_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22759044.0	0.0	20-126	35.0	8.584519081575129	120.3626984947171	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
SRX5299663	SRX5299663_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22274397.0	0.0	20-126	35.0	9.313793739953944	120.09123699285776	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX5299664	SRX5299664_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23401065.0	0.0	20-126	35.0	9.028226023953806	120.30475659975305	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX5299665	SRX5299665_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23692551.0	0.0	20-126	35.0	8.278509865074131	120.18461502942422	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
SRX5505131	SRX5505131_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7676566.0	0.0	20-100	34.0	20.616764815153743	98.79361005949795	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX5505132	SRX5505132_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7546157.0	0.0	20-100	33.0	21.389489854163024	98.7652984161342	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX5505133	SRX5505133_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5291403.0	0.0	22-100	35.0	19.456715710947663	99.27131159732116	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
SRX5505134	SRX5505134_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5038135.0	0.0	20-100	34.0	23.582295644983716	98.79265442470279	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX5505135	SRX5505135_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4938707.0	0.0	20-100	34.0	24.17541343547057	98.77739092438567	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX5505136	SRX5505136_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4886998.0	0.0	20-100	34.0	21.95618989159816	98.85412394275586	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRX5505137	SRX5505137_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4067989.0	0.0	22-100	35.0	19.52344506887207	99.2731032458544	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
SRX5505138	SRX5505138_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6180249.0	0.0	20-100	35.0	15.857189308305768	99.27421953387315	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
SRX5505139	SRX5505139_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4374835.0	0.0	20-100	35.0	18.69284885723581	99.2732457338391	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
SRX5505140	SRX5505140_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6661184.0	0.0	20-100	34.0	14.992025807130155	99.2675061970965	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
SRX5505141	SRX5505141_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7213985.0	0.0	20-100	35.0	20.986549388125354	98.81229001723736	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX5505142	SRX5505142_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5702501.0	0.0	20-100	38.0	15.78580850677409	99.21099040578862	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX5505143	SRX5505143_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7659809.0	0.0	20-100	34.0	21.744588827841703	98.75683323174246	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX5505144	SRX5505144_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7650621.0	0.0	20-100	34.0	21.358323781722905	98.71856624449178	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX5797722	SRX5797722_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33740026.0	0.0	20-101	34.0	8.126565662944488	97.70928208531907	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRX5797723	SRX5797723_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34346558.0	0.0	20-101	35.0	7.532035150979535	98.75798308523375	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRX5797724	SRX5797724_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32720906.0	0.0	20-101	35.0	7.64121963771342	98.77787204302962	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRX5797725	SRX5797725_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22351701.0	0.0	20-101	34.0	10.359182105605303	97.63728854461681	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRX5797726	SRX5797726_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27234585.0	0.0	20-101	35.0	9.072209823727198	97.69756682541703	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRX5797727	SRX5797727_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36146127.0	0.0	20-101	34.0	7.945395367564652	97.76627271851282	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRX5806783	SRX5806783_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34125557.0	0.0	20-101	34.0	8.023550715078157	98.67836835600954	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRX5806784	SRX5806784_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31846804.0	0.0	20-101	35.0	7.59829470901901	99.01149327260595	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRX5806785	SRX5806785_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27494679.0	0.0	20-101	35.0	8.361414923719844	99.02934826043978	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRX5806786	SRX5806786_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29422232.0	0.0	20-101	34.0	9.438703599608395	98.51576923191959	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRX5806787	SRX5806787_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28027589.0	0.0	20-101	35.0	8.321355985545017	99.05180713189422	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRX5806788	SRX5806788_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28656999.0	0.0	20-101	35.0	8.040621976210799	99.01049185226967	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRX6877996	SRX6877996_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3459423.0	0.0	20-75	43.0	35.59229360039966	40.29683158145159	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6877997	SRX6877997_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3620963.0	0.0	20-75	44.0	33.75092433605407	41.22518954211905	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6877998	SRX6877998_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5174980.0	0.0	20-77	50.0	19.760990194798534	30.34617022674484	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRX6877999	SRX6877999_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8645841.0	0.0	20-78	46.0	16.481532052563537	38.94412099412885	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6878000	SRX6878000_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4536831.0	0.0	20-78	46.0	19.42781380946319	34.447028333213204	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6878001	SRX6878001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42791439.0	0.0	20-77	45.0	7.210130368186057	45.83625009666069	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6878002	SRX6878002_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	78466863.0	0.0	20-77	48.0	6.1507742973675	37.365410670234134	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRX6878003	SRX6878003_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21411737.0	0.0	20-77	50.0	13.378431754187398	32.73334171814272	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRX6878004	SRX6878004_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29102777.0	0.0	20-77	50.0	4.355883731665129	33.294338818594525	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6878005	SRX6878005_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7315166.0	0.0	20-77	50.0	27.003543423459934	31.725384495717527	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRX6878006	SRX6878006_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37133835.0	0.0	20-77	49.0	7.886298363231319	33.25597741251341	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6878007	SRX6878007_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24745401.0	0.0	20-77	49.0	22.499364515264872	34.47632236794223	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRX6878008	SRX6878008_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7235670.0	0.0	20-75	49.0	17.065549904051224	37.98571106753072	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6878009	SRX6878009_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32988459.0	0.0	20-77	48.0	32.09409386030255	33.88159004335425	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRX6878010	SRX6878010_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45127309.0	0.0	20-77	49.0	15.229294454024373	36.71349687613768	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6878011	SRX6878011_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10935378.0	0.0	20-75	43.0	36.32657467566594	42.15134547703792	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6878012	SRX6878012_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13776109.0	0.0	20-75	42.0	36.396688495705554	40.52741191289935	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX6878013	SRX6878013_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8067683.0	0.0	20-78	54.0	25.46365863477228	35.541965146622644	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6878014	SRX6878014_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16151970.0	0.0	20-78	54.0	21.520696984290037	34.53563744855891	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6878015	SRX6878015_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19204879.0	0.0	20-78	54.0	20.665255869929535	35.325136596799176	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6878016	SRX6878016_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18148272.0	0.0	20-78	54.0	19.864495928697668	35.341530477392006	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6878017	SRX6878017_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9583944.0	0.0	20-75	44.0	26.830807173076675	40.395696385538145	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX6878018	SRX6878018_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13977311.0	0.0	20-75	42.0	28.45507212497206	46.00224549629038	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX6878019	SRX6878019_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12024615.0	0.0	20-75	46.0	14.922374034193892	39.03732984382452	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6878020	SRX6878020_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17625520.0	0.0	20-77	50.0	24.799931465214815	35.5342051752232	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6878021	SRX6878021_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31183500.0	0.0	20-77	49.0	26.177032994178155	37.767141661455575	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRX6878022	SRX6878022_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33871967.0	0.0	20-77	50.0	23.446516453738496	37.82772845757673	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRX6878023	SRX6878023_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13591979.0	0.0	20-75	46.0	12.341345534870172	40.51071871138117	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6878024	SRX6878024_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4266992.0	0.0	20-75	44.0	31.50516435715756	41.16445730388058	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRX6878025	SRX6878025_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5115799.0	0.0	20-75	43.0	33.4582235508175	40.37452722438861	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6878026	SRX6878026_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5983490.0	0.0	20-75	48.0	17.26735357237337	37.32488998895293	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRX6878027	SRX6878027_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3894692.0	0.0	20-75	47.0	12.883382159221767	32.81818485261479	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRX6878028	SRX6878028_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2885338.0	0.0	20-77	48.0	23.746940017760927	29.179851372698796	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX7125364	SRX7125364_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28092254.0	0.0	20-75	41.0	15.76403941474404	73.78897869854089	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX7125365	SRX7125365_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30859753.0	0.0	20-75	42.0	15.051837423817323	73.78314849117554	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX7125366	SRX7125366_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25289569.0	0.0	20-75	47.0	31.208141576989252	73.5964461078795	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX7125367	SRX7125367_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20096153.0	0.0	20-75	51.0	28.191340871982813	73.64486277547748	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX7125368	SRX7125368_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32207012.0	0.0	20-75	40.0	14.796643265583157	73.79909629617302	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX7125369	SRX7125369_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18551721.0	0.0	20-75	54.0	18.416973676179897	73.63674917275868	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX7125370	SRX7125370_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21736425.0	0.0	20-75	52.0	29.306793231772104	73.42120334875675	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX7125371	SRX7125371_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21409997.0	0.0	20-75	51.0	32.75114338642658	73.53599479719684	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX7125372	SRX7125372_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30932563.0	0.0	20-75	49.0	31.00844541346329	73.6666021499738	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX7125373	SRX7125373_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26532048.0	0.0	20-75	49.0	43.302297607012264	73.55217803013171	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRX7125374	SRX7125374_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28674730.0	0.0	20-75	48.0	39.96665619622321	73.49492957736655	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
